type,text,score,start,end
QUANTITY,second lecture,0.7489129304885864,61,75
DATE,this week,0.9732224345207214,80,89
QUANTITY,"9,000 students",0.9897138476371765,214,228
DATE,today,0.9520930051803589,294,299
LOCATION,Balkan,0.5906944870948792,351,357
LOCATION,Balkan,0.708640992641449,363,369
DATE,this year,0.7908240556716919,427,436
PERSON,Bill,0.9342560768127441,444,448
QUANTITY,100 years,0.9652993083000183,489,498
QUANTITY,18 93 students,0.920423150062561,499,513
PERSON,Lord,0.7239544987678528,598,602
PERSON,Louise,0.9936680197715759,655,661
LOCATION,New York,0.9839515686035156,736,744
LOCATION,West Coast,0.9814183115959167,754,764
PERSON,Lord,0.7719695568084717,827,831
LOCATION,Georgia,0.9986355900764465,835,842
DATE,40 years ago,0.9854235053062439,864,876
PERSON,Ji Young,0.9967834949493408,1110,1118
PERSON,Lewis,0.395669162273407,1143,1148
ORGANIZATION,Department of English,0.986050009727478,1156,1177
OTHER,American,0.6072467565536499,1269,1277
DATE,today,0.8531585335731506,1412,1417
QUANTITY,40 years,0.9980896711349487,1482,1490
QUANTITY,more than 30 years,0.9647809267044067,1649,1667
PERSON,Lady Place,0.675162672996521,1802,1812
ORGANIZATION,National Merit Scholarship Corporation,0.9962304830551147,2133,2171
ORGANIZATION,Research Council Education,0.9318971037864685,2187,2213
PERSON,Carter,0.8824329376220703,2267,2273
ORGANIZATION,Higher Education Research,0.9316978454589844,2315,2340
QUANTITY,three of the articles,0.7620557546615601,2372,2393
QUANTITY,1/4 of our profession,0.8512678742408752,2442,2463
TITLE,The Land Far,0.9232051968574524,2494,2506
ORGANIZATION,Matters College,0.6496909260749817,2619,2634
DATE,1993,0.996778666973114,2666,2670
QUANTITY,First,0.9746415019035339,2672,2677
QUANTITY,20 pounds,0.9924948811531067,2708,2717
QUANTITY,"3,000",0.9893344640731812,2719,2724
QUANTITY,"1,000 degrees",0.9883699417114258,2911,2924
DATE,This week,0.9719727635383606,3126,3135
PERSON,Daniel,0.9021356701850891,3583,3589
QUANTITY,one way,0.7607131004333496,4660,4667
QUANTITY,four,0.6168449521064758,4850,4854
DATE,this afternoon,0.9312993884086609,4969,4983
LOCATION,United States,0.9825540781021118,5469,5482
QUANTITY,each,0.3895132839679718,6176,6180
QUANTITY,each,0.5188722014427185,6338,6342
QUANTITY,one,0.5577969551086426,6840,6843
DATE,Tuesday night,0.9806395769119263,7163,7176
PERSON,Robert Maynard Hutchins,0.9904995560646057,8361,8384
LOCATION,American,0.6914991736412048,8920,8928
QUANTITY,twins,0.6997875571250916,9690,9695
LOCATION,America,0.8409441709518433,10026,10033
LOCATION,Western Europe,0.9794615507125854,10089,10103
LOCATION,Pacific Rim,0.9905999302864075,10154,10165
PERSON,John Dewey,0.995934009552002,12406,12416
OTHER,American,0.48388537764549255,12632,12640
QUANTITY,one thing,0.7978319525718689,13865,13874
OTHER,American,0.6348333358764648,14256,14264
LOCATION,US,0.9914916157722473,14857,14859
PERSON,Daniel Goldman,0.9983664155006409,15429,15443
QUANTITY,two examples,0.9007370471954346,15947,15959
OTHER,American,0.6345202922821045,16090,16098
QUANTITY,both,0.7935661673545837,16631,16635
OTHER,English,0.9174739122390747,16820,16827
OTHER,American,0.8395671248435974,17164,17172
DATE,Tuesday evening,0.9868510961532593,18022,18037
DATE,this afternoon,0.8905150294303894,18198,18212
PERSON,Sandy,0.9268954992294312,18313,18318
DATE,Tuesday evening,0.9874584674835205,18503,18518
PERSON,Diminish,0.7602099776268005,19029,19037
PERSON,Andi,0.9732953906059265,19042,19046
DATE,Tuesday night,0.9616279006004333,19105,19118
QUANTITY,three,0.5832183361053467,19783,19788
QUANTITY,one way,0.829685389995575,20295,20302
OTHER,American,0.5812337398529053,22075,22083
QUANTITY,first,0.689296543598175,22862,22867
QUANTITY,second,0.8785533905029297,23000,23006
QUANTITY,two largest racial minority group,0.8569980263710022,23525,23558
OTHER,American,0.8072016835212708,23846,23854
QUANTITY,two,0.45733335614204407,24580,24583
QUANTITY,100 prepared students,0.9302654266357422,24696,24717
QUANTITY,One,0.608640730381012,24863,24866
