type,text,score,start,end
DATE,today,0.9765447378158569,30,35
QUANTITY,nineteen eighty four,0.6227748394012451,124,144
QUANTITY,eighty eight day,0.9439328908920288,149,165
QUANTITY,one way,0.7359135150909424,1154,1161
LOCATION,united states,0.7705193758010864,1883,1896
QUANTITY,one,0.490945041179657,1971,1974
QUANTITY,each,0.44673803448677063,2737,2741
QUANTITY,one,0.47490203380584717,3232,3235
DATE,tuesday night,0.9786663055419922,3547,3560
PERSON,robert maynard,0.5765727162361145,4725,4739
LOCATION,american,0.6207420229911804,5258,5266
QUANTITY,one,0.4323182702064514,5757,5760
QUANTITY,six,0.7029526233673096,5784,5787
LOCATION,america,0.8424249887466431,6290,6297
LOCATION,western europe,0.8507336974143982,6352,6366
LOCATION,pacific rim,0.6618242263793945,6413,6424
QUANTITY,two,0.7300338745117188,6973,6976
ORGANIZATION,apple,0.5046737194061279,7317,7322
PERSON,john gillies,0.7962005138397217,8648,8660
LOCATION,american,0.6515111327171326,8851,8859
QUANTITY,one thing,0.7551606893539429,10024,10033
ORGANIZATION,apple,0.6303415298461914,10116,10121
LOCATION,american,0.5759549140930176,10413,10421
QUANTITY,two examples,0.9373108148574829,12018,12030
LOCATION,american,0.6248287558555603,12160,12168
QUANTITY,both,0.7841455340385437,12664,12668
OTHER,english,0.6958380937576294,12851,12858
QUANTITY,a week,0.6861584782600403,12877,12883
OTHER,american,0.5140480995178223,13169,13177
DATE,tuesday evening,0.9707595109939575,14004,14019
DATE,tuesday night,0.9893901348114014,15002,15015
QUANTITY,an hour,0.7600312232971191,15577,15584
QUANTITY,one way,0.8299069404602051,16154,16161
QUANTITY,five points,0.9351138472557068,16557,16568
OTHER,american,0.4913666248321533,17828,17836
QUANTITY,first,0.6684854030609131,18596,18601
QUANTITY,second,0.7541123628616333,18727,18733
QUANTITY,two largest racial minority groups,0.8600274324417114,19245,19279
LOCATION,american,0.5226938128471375,19566,19574
ORGANIZATION,republicans,0.8510009050369263,19879,19890
QUANTITY,one,0.5232974886894226,19928,19931
QUANTITY,one,0.5262826681137085,20543,20546
QUANTITY,one,0.4669590890407562,22106,22109
QUANTITY,one,0.5923163890838623,22213,22216
LOCATION,american,0.5134220719337463,26295,26303
QUANTITY,three thousand institutions,0.8962175250053406,26405,26432
QUANTITY,two,0.7937999367713928,28404,28407
QUANTITY,one,0.5910238027572632,28586,28589
QUANTITY,six feet,0.9617931842803955,30193,30201
DATE,today,0.9487438201904297,32552,32557
LOCATION,tokyo,0.6304842233657837,33027,33032
DATE,a half ago,0.8145450949668884,33068,33078
DATE,tuesday night,0.9581736326217651,33486,33499
QUANTITY,single,0.49995869398117065,33543,33549
DATE,today,0.9455586671829224,33725,33730
QUANTITY,second,0.8257358074188232,33855,33861
QUANTITY,one thing,0.8246902823448181,35141,35150
DATE,past few years,0.8712058663368225,35362,35376
QUANTITY,eight,0.6800968050956726,37250,37255
QUANTITY,two examples,0.934482216835022,37402,37414
QUANTITY,both,0.7201153635978699,37683,37687
QUANTITY,both,0.619407057762146,38020,38024
QUANTITY,one bottle,0.8188749551773071,38304,38314
QUANTITY,both,0.7378761172294617,38416,38420
PERSON,rick warren,0.8074389100074768,38561,38572
QUANTITY,both,0.6536571979522705,38948,38952
QUANTITY,ten year,0.8692967295646667,40549,40557
PERSON,bruce dusenberry,0.9190133810043335,40977,40993
LOCATION,iran,0.6376779675483704,41227,41231
QUANTITY,couple,0.6565828323364258,42991,42997
QUANTITY,five years,0.9856618642807007,43046,43056
QUANTITY,one property,0.6429279446601868,43440,43452
