type,text,score,start,end
DATE,17th this morning,0.9203288555145264,7,24
PERSON,Brian,0.746544361114502,65,70
LOCATION,Ballantine,0.49761962890625,149,159
LOCATION,Rolls halls,0.5569828748703003,164,175
QUANTITY,Five students,0.949567973613739,177,190
DATE,this morning,0.892927348613739,226,238
PERSON,President Sudden Chancellor Carter,0.9556818008422852,442,476
DATE,this afternoon,0.8856764435768127,497,511
PERSON,Law Harry,0.8975803256034851,536,545
PERSON,Parker,0.9810490608215332,636,642
PERSON,Harry,0.9317752122879028,655,660
PERSON,Brian Hall,0.9935942888259888,796,806
DATE,7 30 in the morning,0.8081963658332825,813,832
QUANTITY,one response,0.7826282382011414,1011,1023
DATE,today,0.9422102570533752,1989,1994
QUANTITY,one manifestation,0.582500696182251,2003,2020
QUANTITY,first,0.9189088940620422,2339,2344
PERSON,Chancellor Carter,0.9275023937225342,2413,2430
QUANTITY,first speaker,0.8746556043624878,2983,2996
QUANTITY,first,0.887367308139801,3087,3092
PERSON,Keith Parker,0.9995415210723877,3450,3462
DATE,this afternoon,0.8824737668037415,3529,3543
PERSON,Waller,0.8833047151565552,3633,3639
PERSON,Wei,0.787765622138977,3680,3683
QUANTITY,one,0.5633796453475952,3765,3768
QUANTITY,one,0.6257875561714172,3781,3784
QUANTITY,one,0.6153786182403564,3866,3869
PERSON,Dale,0.9731921553611755,4068,4072
QUANTITY,one announcement,0.6016096472740173,4292,4308
PERSON,President Sutton,0.9272007942199707,4368,4384
PERSON,Chancellor Carter,0.9494287371635437,4389,4406
PERSON,Keith,0.993251621723175,4416,4421
PERSON,Michael,0.9982120990753174,4423,4430
DATE,this morning,0.9539939165115356,4549,4561
QUANTITY,eight people,0.9516186118125916,4574,4586
PERSON,Brian Hall,0.975044846534729,4614,4624
QUANTITY,one,0.591119647026062,4704,4707
PERSON,Bond,0.9916609525680542,4773,4777
QUANTITY,$50,0.9991597533226013,4794,4797
QUANTITY,$400,0.9886507987976074,4807,4811
QUANTITY,one,0.47529467940330505,4889,4892
PERSON,Keith,0.9994114637374878,5489,5494
QUANTITY,First,0.9430970549583435,5750,5755
LOCATION,"Evansville, Indiana",0.9432268142700195,6068,6087
LOCATION,"Evansville, Indiana",0.9082746505737305,6285,6304
QUANTITY,"2,000",0.9985013008117676,6395,6400
LOCATION,Bloomington,0.9843875169754028,6866,6877
LOCATION,Vietnam,0.9934918284416199,7303,7310
ORGANIZATION,Indiana University,0.9517874121665955,7416,7434
QUANTITY,one paper,0.8760376572608948,8753,8762
QUANTITY,second part,0.9146409630775452,8990,9001
QUANTITY,Both,0.7231486439704895,9104,9108
PERSON,Chancellor Carter,0.7550610303878784,9120,9137
QUANTITY,Thousands,0.8831658959388733,9428,9437
PERSON,Chancellor Carter,0.7187129855155945,10146,10163
QUANTITY,two,0.9562737941741943,10317,10320
DATE,2 May 1,0.9991878271102905,10414,10421
QUANTITY,first,0.7677778601646423,10617,10622
PERSON,President Nixon,0.9561424255371094,10673,10688
LOCATION,Southeast Asia,0.9824946522712708,10701,10715
PERSON,Chancellor Carter,0.8809780478477478,10787,10804
QUANTITY,one demand,0.7775834798812866,10815,10825
QUANTITY,first,0.848304271697998,11002,11007
QUANTITY,two,0.8745204210281372,11815,11818
LOCATION,Southeast Asia,0.9885077476501465,11856,11870
QUANTITY,One,0.8163920044898987,12129,12132
QUANTITY,Secondly,0.780027449131012,12212,12220
PERSON,Dean Merit,0.6506057381629944,12278,12288
QUANTITY,years,0.514254629611969,12478,12483
QUANTITY,three,0.8777526021003723,12595,12600
ORGANIZATION,Bobby Seale Defense Fund,0.875531792640686,12650,12674
PERSON,Diane,0.9871397614479065,12694,12699
LOCATION,Michigan,0.6114776134490967,12904,12912
QUANTITY,four Doubt,0.6050567030906677,12937,12947
LOCATION,Indiana,0.9888624548912048,13094,13101
PERSON,Hudson,0.7002817988395691,13303,13309
QUANTITY,19 fifties,0.9483708143234253,13662,13672
QUANTITY,"9,000 plus",0.8208187818527222,14023,14033
QUANTITY,"two seven 1,000 plus",0.8764727711677551,14034,14054
QUANTITY,3,0.5578964948654175,14083,14084
QUANTITY,4,0.5035262703895569,14085,14086
PERSON,President Sutton,0.9022191762924194,14295,14311
DATE,yesterday,0.9748895764350891,14635,14644
PERSON,Keith,0.9994109869003296,14977,14982
PERSON,Mike,0.9973111152648926,14987,14991
PERSON,Chancellor Carter,0.7789047956466675,15493,15510
PERSON,Prouder,0.5969223976135254,15515,15522
PERSON,President Sutton,0.9567346572875977,15581,15597
PERSON,Chancellor Carter,0.8102856278419495,15601,15618
PERSON,William Curly,0.999278724193573,15665,15678
PERSON,Paul Dobbs,0.9998601078987122,15680,15690
PERSON,Susan Young,0.997434675693512,15692,15703
PERSON,Gregor,0.9948274493217468,15705,15711
PERSON,Harry Hess,0.9997778534889221,15713,15723
PERSON,Steve Emery,0.9994895458221436,15725,15736
PERSON,Roger Knolton,0.99979567527771,15738,15751
PERSON,Mike Jones,0.9998165369033813,15753,15763
PERSON,John,0.9026918411254883,15768,15772
QUANTITY,first,0.7476664185523987,16086,16091
PERSON,President Sutton,0.9739088416099548,16098,16114
DATE,yesterday,0.9692056775093079,16248,16257
ORGANIZATION,Evansville Press,0.9524121284484863,16372,16388
ORGANIZATION,Evansville Press,0.9506540298461914,16515,16531
PERSON,Oda,0.9251393675804138,17171,17174
QUANTITY,first person,0.7047829627990723,17367,17379
LOCATION,Evansville,0.813084065914154,17520,17530
PERSON,Mark,0.7536988854408264,18069,18073
DATE,today,0.9544352889060974,18184,18189
QUANTITY,about 50 students,0.9327751398086548,18357,18374
QUANTITY,200,0.9041857719421387,18452,18455
QUANTITY,400,0.7847941517829895,18459,18462
QUANTITY,50 students,0.9872039556503296,18624,18635
QUANTITY,four foot clubs,0.8958560228347778,18723,18738
QUANTITY,half tracks,0.8267450332641602,18823,18834
DATE,last week,0.9786766171455383,18875,18884
PERSON,Sutton,0.9892907738685608,19155,19161
LOCATION,Bloomington,0.8489694595336914,19237,19248
PERSON,Keith,0.9996346235275269,19418,19423
DATE,today,0.9703930020332336,19487,19492
ORGANIZATION,Indiana University,0.9830501079559326,19714,19732
PERSON,Keith,0.990670919418335,19761,19766
DATE,tonight,0.6815465688705444,19767,19774
QUANTITY,twice,0.9829302430152893,19775,19780
LOCATION,Evansville,0.6747926473617554,19856,19866
LOCATION,Cambodia,0.9975425004959106,19977,19985
PERSON,Satin,0.9236181974411011,19991,19996
LOCATION,Thailand,0.9998156428337097,20011,20019
QUANTITY,three years,0.9776583909988403,20024,20035
PERSON,Sutton,0.9823271036148071,20637,20643
PERSON,Keith,0.9889459013938904,20756,20761
DATE,yesterday,0.9830837249755859,20777,20786
PERSON,President Sultan,0.9100701212882996,21208,21224
PERSON,Parker,0.9996182918548584,21273,21279
LOCATION,Cambodia,0.9978804588317871,21386,21394
QUANTITY,second way,0.8166499733924866,21436,21446
QUANTITY,one more speaker,0.7650017738342285,21453,21469
DATE,past weekend,0.8602854609489441,21523,21535
PERSON,Keith Parker,0.9993993639945984,21569,21581
PERSON,Parker,0.9374108910560608,21645,21651
PERSON,Michael,0.9991052746772766,21845,21852
QUANTITY,first,0.8359188437461853,22048,22053
PERSON,Tio,0.7766682505607605,22055,22058
QUANTITY,one,0.4087072014808655,22059,22062
PERSON,Bobby Seale,0.9978391528129578,22091,22102
LOCATION,Indiana,0.9292412400245667,22258,22265
PERSON,Bobby Seale,0.9924401044845581,22368,22379
PERSON,Mike,0.9998027682304382,22542,22546
DATE,yesterday,0.9796388149261475,22558,22567
PERSON,Mike,0.9999018907546997,22615,22619
PERSON,Brian Hall,0.9853429198265076,22680,22690
PERSON,Mike,0.9998974800109863,22779,22783
PERSON,Brian 200,0.7594844102859497,22903,22912
PERSON,Mike,0.9999376535415649,22983,22987
QUANTITY,two,0.9405107498168945,23014,23017
DATE,today,0.9454047083854675,23067,23072
PERSON,Brian,0.9883478283882141,23570,23575
PERSON,Balance,0.8687724471092224,23580,23587
DATE,today,0.9640453457832336,23605,23610
ORGANIZATION,Student Administration,0.7701942920684814,23677,23699
PERSON,Paul,0.9089946746826172,23715,23719
QUANTITY,10 seconds,0.9781294465065002,23720,23730
PERSON,President Sutton,0.9079545140266418,24159,24175
PERSON,Chancellor Carter,0.9314982891082764,24180,24197
PERSON,Mike,0.9997950196266174,24787,24791
DATE,today,0.9592750668525696,24817,24822
DATE,Friday,0.9742991924285889,25036,25042
QUANTITY,One,0.6384839415550232,25679,25682
PERSON,Chancellor Carter,0.7724062204360962,26051,26068
PERSON,Mike,0.999225378036499,26483,26487
PERSON,Janet Number,0.8617100119590759,26679,26691
LOCATION,Bloomington,0.6750459671020508,26802,26813
ORGANIZATION,Bloomington Faculty Council,0.9929463863372803,26940,26967
PERSON,Chancellor Kaga,0.8147274851799011,27185,27200
LOCATION,Bloomington,0.7635858654975891,27643,27654
ORGANIZATION,College of Arts and Sciences Policy Committee,0.9635149240493774,27729,27774
DATE,today,0.7971259355545044,27896,27901
QUANTITY,one,0.5094006061553955,28085,28088
PERSON,Chuck Turner,0.9975008368492126,28467,28479
QUANTITY,two questions,0.9237493872642517,28527,28540
QUANTITY,1st 1,0.897794246673584,28566,28571
QUANTITY,nine non violence,0.7600168585777283,28631,28648
PERSON,Mayor Hooker,0.9241712689399719,28765,28777
ORGANIZATION,Indiana University,0.977613627910614,28953,28971
PERSON,Chuck,0.9958261847496033,29002,29007
DATE,today,0.9498355984687805,29173,29178
QUANTITY,one second,0.9255731701850891,29924,29934
PERSON,Mike,0.9926260113716125,29961,29965
QUANTITY,second question,0.8860376477241516,29970,29985
DATE,More than a year ago,0.9465088844299316,30007,30027
ORGANIZATION,Division of Arts and Sciences,0.9621322154998779,30076,30105
ORGANIZATION,University Council Committee,0.9899830222129822,30290,30318
DATE,a year ago,0.9733012914657593,30386,30396
PERSON,Auntie Z,0.5853471755981445,30838,30846
PERSON,Turner,0.99672532081604,30935,30941
QUANTITY,one point,0.7895295023918152,30958,30967
DATE,a year ago,0.9791140556335449,31005,31015
ORGANIZATION,College of Arts and Sciences,0.9652286171913147,31113,31141
ORGANIZATION,ROTC,0.36413446068763733,31155,31159
ORGANIZATION,College of Arts and Sciences,0.9860150814056396,31257,31285
ORGANIZATION,College of Arts and Sciences,0.9915961623191833,31446,31474
ORGANIZATION,ROTC,0.6189576387405396,31686,31690
QUANTITY,One,0.5559728741645813,31835,31838
LOCATION,Indiana,0.9666876196861267,32119,32126
PERSON,Ana,0.8959321975708008,32357,32360
ORGANIZATION,Indiana University,0.9668933749198914,32661,32679
DATE,today,0.926875114440918,32696,32701
DATE,this morning,0.9194840788841248,32874,32886
DATE,today,0.9494796395301819,32909,32914
DATE,this morning,0.922629177570343,33127,33139
ORGANIZATION,Yale,0.7310276627540588,33452,33456
QUANTITY,second,0.6832014918327332,33499,33505
PERSON,Chancellor Carter,0.7793778777122498,33523,33540
DATE,yesterday,0.989138662815094,33555,33564
PERSON,Dean Harvey,0.8899072408676147,33573,33584
DATE,yesterday,0.9891065955162048,33599,33608
DATE,this morning,0.9192022085189819,33645,33657
QUANTITY,each individual school,0.7314939498901367,34521,34543
QUANTITY,each individual school,0.8198016881942749,34547,34569
LOCATION,Washington,0.9877647757530212,34676,34686
DATE,next three weeks,0.836563766002655,34783,34799
QUANTITY,both,0.6724787354469299,34872,34876
DATE,last 10 days,0.8654710054397583,35435,35447
QUANTITY,12 years,0.9981161952018738,35906,35914
DATE,last year,0.9507406949996948,35955,35964
ORGANIZATION,Veterans of Peace,0.7137297987937927,36094,36111
PERSON,Chancellor Carter,0.7969222068786621,36136,36153
PERSON,Boyle,0.9947174191474915,36160,36165
ORGANIZATION,Faculty Council,0.8174557089805603,36327,36342
DATE,yesterday,0.9672693014144897,36343,36352
PERSON,Diamond,0.945441484451294,36569,36576
PERSON,Chris Logan,0.9997444748878479,36629,36640
OTHER,English,0.5559278726577759,36650,36657
PERSON,Tom,0.8632199764251709,36679,36682
PERSON,Horst,0.995256245136261,36689,36694
PERSON,Shelly Geller,0.9998815655708313,36699,36712
PERSON,Peter Linton,0.9995449781417847,36717,36729
QUANTITY,$50,0.8771706819534302,36846,36849
QUANTITY,$50,0.9195387959480286,36876,36879
QUANTITY,one,0.49478286504745483,36976,36979
PERSON,Tom Shortlist,0.9769068956375122,37071,37084
PERSON,Tom,0.998763918876648,37155,37158
PERSON,Tom,0.9972265362739563,37178,37181
QUANTITY,eight students,0.9180728197097778,37197,37211
PERSON,Tom,0.998457670211792,37238,37241
QUANTITY,$500,0.875603437423706,37422,37426
DATE,tonight,0.9319872260093689,37611,37618
QUANTITY,$50,0.9994748830795288,37638,37641
QUANTITY,500 a piece,0.8999034762382507,37657,37668
QUANTITY,$500,0.9129027724266052,37745,37749
QUANTITY,$446.80,0.996120035648346,37897,37904
QUANTITY,one,0.34613490104675293,38139,38142
DATE,tonight,0.895372211933136,38180,38187
QUANTITY,seven,0.61585932970047,38189,38194
LOCATION,Auditorium,0.6480697393417358,38224,38234
PERSON,Mitt,0.5718739032745361,38282,38286
LOCATION,Vietnam,0.8470149040222168,38310,38317
PERSON,Edwards,0.9766422510147095,38329,38336
PERSON,Sermon,0.6797563433647156,38338,38344
LOCATION,American,0.32573065161705017,38348,38356
