type,text,score,start,end
DATE,17th,0.930534839630127,16,20
DATE,This morning,0.9784671664237976,22,34
ORGANIZATION,Bryan Administration Building,0.7616077661514282,72,101
LOCATION,Ballantine,0.6579800844192505,156,166
LOCATION,Rawles Halls,0.9638428092002869,171,183
QUANTITY,Five students,0.9551753997802734,185,198
DATE,this morning,0.8644406795501709,234,246
PERSON,President Sutton,0.9182820320129395,448,464
PERSON,Chancellor Carter,0.856941282749176,466,483
DATE,this afternoon,0.8522165417671204,506,520
PERSON,Law Harry Pratter,0.7975248694419861,545,562
PERSON,Keith Parker,0.9995332360267639,616,628
PERSON,HARRY PRATTER,0.9785277843475342,630,643
PERSON,Harry Pratter,0.9982677102088928,678,691
LOCATION,Bryan Hall,0.9182683825492859,825,835
DATE,7:30 in the morning,0.9681922197341919,842,861
QUANTITY,one response,0.7778410315513611,1043,1055
DATE,today,0.9460627436637878,2009,2014
QUANTITY,one manifestation,0.5728463530540466,2023,2040
PERSON,Dunn,0.5082159042358398,2194,2198
QUANTITY,First,0.9073593616485596,2369,2374
PERSON,President Sutton,0.9725751280784607,2405,2421
PERSON,Chancellor Carter,0.9276036024093628,2443,2460
QUANTITY,an hour,0.7970131635665894,3010,3017
QUANTITY,first speaker,0.8687995672225952,3027,3040
QUANTITY,first,0.9157761931419373,3135,3140
QUANTITY,an hour,0.9262640476226807,3178,3185
PERSON,KEITH PARKER,0.9993956685066223,3187,3199
PERSON,Keith Parker,0.9991330504417419,3528,3540
DATE,this afternoon,0.8874197602272034,3608,3622
PERSON,HARRY PRATTER,0.9841257929801941,3705,3718
PERSON,Pryweller,0.9985951781272888,3724,3733
QUANTITY,one,0.4511028826236725,3854,3857
QUANTITY,one,0.5868357419967651,3875,3878
QUANTITY,one,0.5796515941619873,3963,3966
PERSON,Dale Pryweller,0.9989627003669739,4185,4199
PERSON,HARRY PRATTER,0.9892811179161072,4262,4275
PERSON,DALE PRYWELLER,0.9942862391471863,4371,4385
QUANTITY,one announcement,0.7647148370742798,4465,4481
PERSON,President Sutton,0.9541563987731934,4537,4553
PERSON,Chancellor Carter,0.9596755504608154,4558,4575
PERSON,Keith,0.9990272521972656,4586,4591
PERSON,Michael,0.9998475313186646,4596,4603
DATE,this morning,0.948329746723175,4735,4747
QUANTITY,eight people,0.9598363041877747,4760,4772
PERSON,Bryan Hall,0.9614858031272888,4800,4810
QUANTITY,one,0.6900660991668701,4889,4892
QUANTITY,$50,0.9991670846939087,4982,4985
QUANTITY,$400,0.986664891242981,4995,4999
QUANTITY,one,0.5428860783576965,5078,5081
PERSON,Keith,0.9988896250724792,5682,5687
ORGANIZATION,Student Government Defense Fund,0.815293550491333,5773,5804
PERSON,President Sutton,0.9585379362106323,5900,5916
PERSON,JOSEPH SUTTON,0.998477041721344,5940,5953
QUANTITY,First,0.9778701066970825,5960,5965
PERSON,JOSEPH SUTTON,0.9987639784812927,6113,6126
LOCATION,"Evansville, Indiana",0.9529550671577454,6298,6317
LOCATION,"Evansville, Indiana",0.929034411907196,6517,6536
DATE,2000,0.9969244599342346,6627,6631
LOCATION,Bloomington,0.9833870530128479,6927,6938
LOCATION,Bloomington,0.9908945560455322,7006,7017
LOCATION,Bloomington,0.9901437759399414,7102,7113
LOCATION,Vietnam,0.9853999018669128,7546,7553
ORGANIZATION,Indiana University,0.9682546854019165,7659,7677
QUANTITY,one paper,0.8612250685691833,9007,9016
QUANTITY,second part,0.9023833274841309,9232,9243
QUANTITY,both,0.6833750605583191,9347,9351
PERSON,Chancellor Carter,0.7571660280227661,9363,9380
QUANTITY,thousands,0.6890578866004944,9682,9691
PERSON,BYRUM CARTER,0.9197989106178284,10410,10422
