type,text,score,start,end
QUANTITY,seventy this morning,0.6323678493499756,7,27
QUANTITY,five students,0.9165000915527344,169,182
DATE,this morning,0.922874927520752,218,230
QUANTITY,second meeting,0.6615777015686035,460,474
PERSON,harry potter,0.985592782497406,548,560
LOCATION,brian hall,0.5622386932373047,689,699
QUANTITY,seven thirty,0.5924317240715027,706,718
QUANTITY,one response,0.6564514636993408,909,921
DATE,last night,0.9405549764633179,1338,1348
DATE,today,0.9635719656944275,1849,1854
QUANTITY,one manifestation,0.5647115111351013,1863,1880
QUANTITY,first,0.8537499308586121,2177,2182
QUANTITY,an hour,0.8678622841835022,2777,2784
QUANTITY,first week,0.8766651153564453,2794,2804
QUANTITY,first,0.8715195059776306,2893,2898
QUANTITY,an hour,0.8850979804992676,2928,2935
DATE,this afternoon,0.9003685712814331,3197,3211
QUANTITY,one,0.6176636219024658,3404,3407
QUANTITY,one,0.680178165435791,3421,3424
LOCATION,washington,0.9365460276603699,3785,3795
QUANTITY,one announcement,0.656995415687561,3838,3854
PERSON,keith michael,0.9667848944664001,3948,3961
DATE,this morning,0.947130024433136,4070,4082
QUANTITY,eight people,0.9589729905128479,4094,4106
LOCATION,brian hall,0.6123911738395691,4134,4144
QUANTITY,fifty dollars,0.9595192074775696,4307,4320
QUANTITY,four hundred dollars,0.9875515103340149,4329,4349
QUANTITY,one blockbuster,0.6816045641899109,4414,4429
PERSON,harry reid,0.9694019556045532,4917,4927
QUANTITY,first,0.839430034160614,5158,5163
LOCATION,evansville,0.3532238006591797,5398,5408
LOCATION,indiana,0.5903732776641846,5409,5416
LOCATION,evansville indiana,0.5653202533721924,5578,5596
QUANTITY,two thousand,0.9501922726631165,5650,5662
ORGANIZATION,amazon,0.9795417189598083,5971,5977
LOCATION,vietnam,0.9810011982917786,6416,6423
LOCATION,indiana,0.44182896614074707,6536,6543
QUANTITY,third,0.8200557827949524,7065,7070
QUANTITY,five voting,0.7550797462463379,7471,7482
QUANTITY,second part,0.9065554738044739,7872,7883
QUANTITY,thousands,0.6440704464912415,8274,8283
QUANTITY,one,0.512675404548645,9223,9226
QUANTITY,first,0.7439937591552734,9387,9392
PERSON,nixon,0.7880066633224487,9453,9458
LOCATION,southeast asia,0.8606767654418945,9471,9485
PERSON,jonathan,0.975402295589447,9541,9549
PERSON,president of the university,0.8752349019050598,9661,9688
QUANTITY,first,0.8844694495201111,9707,9712
PERSON,president of that university,0.9130653738975525,9758,9786
TITLE,bible,0.6915466785430908,10196,10201
TITLE,bible,0.8780246376991272,10219,10224
LOCATION,southeast asia,0.8334593772888184,10529,10543
QUANTITY,three,0.7152923941612244,11245,11250
LOCATION,michigan,0.7413001656532288,11525,11533
LOCATION,indiana,0.8440892696380615,11705,11712
LOCATION,lanai,0.8723366260528564,11826,11831
QUANTITY,nineteen fifties,0.7841256856918335,12178,12194
QUANTITY,nine thousand plus,0.700169026851654,12511,12529
QUANTITY,seven thousand plus,0.810298502445221,12534,12553
QUANTITY,three quarters,0.8810089230537415,12564,12578
DATE,yesterday,0.9870370626449585,13050,13059
QUANTITY,four people,0.9122618436813354,13379,13390
PERSON,susan young gregory hess steve emory roger,0.666999876499176,14023,14065
PERSON,mike jones,0.8787012696266174,14075,14085
PERSON,john paul,0.995754599571228,14089,14098
QUANTITY,first,0.7613669633865356,14282,14287
DATE,yesterday,0.9766437411308289,14428,14437
QUANTITY,first person,0.6919757127761841,15410,15422
LOCATION,israel,0.5189231634140015,15997,16003
DATE,today,0.9365704655647278,16103,16108
QUANTITY,about fifty students,0.8380011916160583,16242,16262
QUANTITY,two hundred,0.6860961318016052,16341,16352
QUANTITY,four hundred,0.7259938716888428,16356,16368
QUANTITY,fifty students,0.9300569295883179,16514,16528
QUANTITY,four foreclosed baptist up,0.7067291140556335,16617,16643
DATE,last week,0.9143332839012146,16745,16754
QUANTITY,twice,0.7905840277671814,17535,17540
DATE,two years ago,0.9889662265777588,17609,17622
LOCATION,cambodia,0.9852041006088257,17673,17681
LOCATION,thailand,0.9991225600242615,17709,17717
QUANTITY,three years,0.9659741520881653,17722,17733
LOCATION,beijing,0.45661404728889465,18272,18279
QUANTITY,first bob dixson people,0.692406952381134,18327,18350
DATE,yesterday,0.9847761392593384,18420,18429
LOCATION,iran,0.6052807569503784,18893,18897
LOCATION,cambodia,0.9929696917533875,18915,18923
QUANTITY,second one,0.6305269598960876,18964,18974
QUANTITY,first,0.8879220485687256,19341,19346
QUANTITY,one man,0.7216674089431763,19354,19361
QUANTITY,an hour,0.7836901545524597,19529,19536
PERSON,mike,0.9174966812133789,19780,19784
DATE,yesterday,0.9937121868133545,19796,19805
PERSON,mike,0.8774292469024658,19840,19844
ORGANIZATION,muslim,0.37818703055381775,19875,19881
LOCATION,lunar ryan hall,0.7691565752029419,19882,19897
LOCATION,germans,0.6915422081947327,19963,19970
PERSON,mike,0.867779552936554,19975,19979
QUANTITY,hundred am house,0.5263916850090027,20096,20112
PERSON,mike,0.8149617314338684,20162,20166
QUANTITY,two,0.5454807281494141,20193,20196
DATE,today,0.9884535670280457,20230,20235
PERSON,ryan,0.8244160413742065,20605,20609
QUANTITY,ten seconds,0.7982744574546814,20688,20699
DATE,today,0.8791677355766296,20775,20780
DATE,friday,0.8826983571052551,21623,21629
