type,text,score,start,end
QUANTITY,four,0.8158034086227417,14,18
PERSON,Harry,0.9946087598800659,136,141
PERSON,Barry,0.7870025038719177,361,366
PERSON,Hayes Wei,0.9796108603477478,468,477
PERSON,Sam Energy,0.9466299414634705,494,504
LOCATION,Dallas,0.45494964718818665,736,742
QUANTITY,17 1000,0.8213840126991272,758,765
QUANTITY,five cast their states,0.7559175491333008,1013,1035
QUANTITY,32 years,0.9941521286964417,1087,1095
QUANTITY,40 children,0.9700661301612854,1223,1234
QUANTITY,88,0.606373131275177,1302,1304
QUANTITY,"3 220,000",0.8208330273628235,1421,1430
QUANTITY,"77,000 End up",0.8155806064605713,1470,1483
PERSON,Charlie,0.864712655544281,1515,1522
QUANTITY,Four A,0.7028159499168396,1554,1560
QUANTITY,one less,0.6470432281494141,1741,1749
PERSON,Jax,0.919028103351593,2112,2115
QUANTITY,Four,0.8812090754508972,2177,2181
PERSON,Terry,0.9869041442871094,2372,2377
DATE,1974,0.9950060248374939,2394,2398
PERSON,Phil,0.985205352306366,2672,2676
DATE,1976,0.9879487752914429,2709,2713
QUANTITY,98. 76,0.9758925437927246,2720,2726
DATE,1970,0.9925119876861572,2730,2734
DATE,A year later,0.9414258003234863,2844,2856
QUANTITY,18 Issue,0.739561915397644,2961,2969
PERSON,Vito,0.8023162484169006,3107,3111
PERSON,Fatih,0.7697085738182068,3118,3123
DATE,1917,0.9921922087669373,3150,3154
QUANTITY,Session two,0.8729254007339478,3156,3167
QUANTITY,20%,0.936132550239563,3236,3239
QUANTITY,first separation,0.7882663607597351,3251,3267
DATE,1973,0.9825830459594727,3486,3490
QUANTITY,first,0.6572948694229126,3657,3662
DATE,1921 1975,0.6999263167381287,3813,3822
ORGANIZATION,TMS,0.7614836096763611,3976,3979
QUANTITY,One,0.5254316329956055,4046,4049
QUANTITY,10 minutes,0.9983851909637451,4103,4113
QUANTITY,three years,0.9810746312141418,4150,4161
QUANTITY,one,0.4481413960456848,4182,4185
DATE,1975,0.9966627955436707,4245,4249
QUANTITY,First,0.849273145198822,4328,4333
QUANTITY,four sessions,0.843198835849762,4416,4429
QUANTITY,76,0.4189152717590332,4449,4451
DATE,1985,0.9324442744255066,4452,4456
LOCATION,US,0.5689935684204102,4821,4823
QUANTITY,95 Gonorrhea,0.587022602558136,4842,4854
QUANTITY,99%,0.9939769506454468,4903,4906
QUANTITY,about 60%,0.9699653387069702,4913,4922
QUANTITY,30%,0.9949332475662231,5039,5042
QUANTITY,First,0.9614652991294861,5135,5140
QUANTITY,Second medical establishment,0.8326479196548462,5182,5210
QUANTITY,Thousands,0.8717126846313477,5220,5229
DATE,1977,0.9974406957626343,5238,5242
DATE,1977,0.964987576007843,5405,5409
QUANTITY,two accidents,0.931968092918396,5717,5730
QUANTITY,Six,0.9242970943450928,5846,5849
QUANTITY,First,0.9624453186988831,5993,5998
QUANTITY,first,0.5112107396125793,6081,6086
QUANTITY,first,0.8749529719352722,6134,6139
LOCATION,Chicago,0.9969191551208496,6173,6180
LOCATION,Minneapolis,0.9995997548103333,6185,6196
DATE,1971,0.9616167545318604,6210,6214
PERSON,Kate,0.9326826333999634,6382,6386
QUANTITY,Five,0.9741084575653076,6388,6392
QUANTITY,116 women,0.7540296912193298,6409,6418
QUANTITY,12 war doctors,0.7042989134788513,6464,6478
QUANTITY,first principle,0.7720468640327454,6545,6560
QUANTITY,five shin,0.7649394869804382,6924,6933
PERSON,Sonny,0.8655838966369629,7219,7224
QUANTITY,40 women,0.9825333952903748,7480,7488
LOCATION,Chicago,0.9933326840400696,7494,7501
QUANTITY,16 Jane advertised,0.653766393661499,7503,7521
PERSON,James,0.9937428832054138,7578,7583
PERSON,Jane,0.9952548742294312,7601,7605
QUANTITY,"11,000",0.9892142415046692,7842,7848
QUANTITY,71,0.8214723467826843,7854,7856
PERSON,Carol,0.7525054812431335,8005,8010
QUANTITY,One war,0.8790155053138733,8019,8026
QUANTITY,Eight,0.8347193598747253,8311,8316
PERSON,Thomas,0.9917752742767334,8726,8732
QUANTITY,four,0.6000813245773315,8861,8865
PERSON,Cass,0.8825632929801941,9064,9068
LOCATION,Russian,0.469584196805954,9351,9358
PERSON,Tracy Wait,0.7771741151809692,9498,9508
PERSON,Lawrence,0.8549777269363403,9612,9620
DATE,today,0.92286616563797,10058,10063
QUANTITY,single issue,0.6202965378761292,10100,10112
QUANTITY,One,0.7835668325424194,10359,10362
ORGANIZATION,Apple,0.8654921054840088,10407,10412
QUANTITY,three,0.6684911847114563,10489,10494
QUANTITY,three,0.807598352432251,10634,10639
QUANTITY,Three,0.9175567030906677,10701,10706
QUANTITY,five years,0.939972996711731,10954,10964
QUANTITY,1000 consent bills,0.8534404039382935,11142,11160
LOCATION,San Undercover,0.9030820727348328,11273,11287
QUANTITY,six cents,0.9879074096679688,11322,11331
QUANTITY,19 four,0.9214444756507874,11548,11555
QUANTITY,three,0.5581184029579163,11673,11678
QUANTITY,three days,0.9604718089103699,11896,11906
QUANTITY,40 Finally mental,0.7382922172546387,11983,12000
QUANTITY,One,0.41726475954055786,12034,12037
QUANTITY,One example,0.8170064687728882,12069,12080
QUANTITY,Four women,0.9195241332054138,12116,12126
QUANTITY,30 days,0.9339863061904907,12243,12250
QUANTITY,First time,0.8428323864936829,12371,12381
PERSON,Carol,0.9692555069923401,12414,12419
DATE,15 years ago,0.994156539440155,12934,12946
QUANTITY,30 day,0.968907356262207,13072,13078
QUANTITY,77,0.9670614004135132,13118,13120
DATE,19,0.5149521827697754,13189,13191
PERSON,Teo,0.8186177611351013,13376,13379
OTHER,Latin,0.7994940876960754,13451,13456
ORGANIZATION,National women's Health,0.9109565615653992,13602,13625
QUANTITY,76,0.7146768569946289,13636,13638
DATE,last night,0.9660933613777161,13682,13692
DATE,1977,0.910610020160675,13926,13930
QUANTITY,4 nine,0.7856677174568176,13931,13937
ORGANIZATION,Medicaid,0.4502802789211273,13938,13946
QUANTITY,two,0.6121775507926941,14057,14060
LOCATION,France,0.9956328272819519,14738,14744
DATE,last winter,0.7660130858421326,14778,14789
QUANTITY,46,0.4791061282157898,14962,14964
LOCATION,Paris,0.998322069644928,15201,15206
QUANTITY,86,0.7514042854309082,15355,15357
LOCATION,France,0.9857450127601624,15556,15562
TITLE,Sunday Times,0.7241358160972595,15809,15821
