type,text,score,start,end
LOCATION,United States,0.9949635863304138,386,399
QUANTITY,first part,0.8398677706718445,642,652
QUANTITY,first part,0.869113564491272,679,689
LOCATION,United States,0.9980495572090149,761,774
DATE,this afternoon,0.8929758667945862,1262,1276
DATE,tomorrow,0.8774128556251526,1577,1585
LOCATION,United States of America,0.9755796194076538,1605,1629
QUANTITY,each case,0.8298549652099609,1962,1971
QUANTITY,one group,0.9123397469520569,1978,1987
QUANTITY,one example,0.8331471681594849,3028,3039
OTHER,AIDS,0.46397748589515686,3944,3948
DATE,1986,0.9970778226852417,4264,4268
QUANTITY,$0.44,0.9966354370117188,4286,4291
QUANTITY,50%,0.9451448321342468,4339,4342
LOCATION,United States,0.9945870637893677,4363,4376
QUANTITY,"less than $7,610",0.9837084412574768,4384,4400
QUANTITY,"17,114",0.9946670532226562,4423,4429
OTHER,Latin,0.7024625539779663,4477,4482
OTHER,Latin,0.785287082195282,4576,4581
OTHER,Latin,0.896960973739624,4632,4637
QUANTITY,One important point,0.9060261845588684,4707,4726
DATE,1988,0.998323380947113,5296,5300
QUANTITY,"$32,000 a year",0.9496300220489502,5381,5395
QUANTITY,15,0.9557406306266785,5411,5413
QUANTITY,"$21,000",0.9939576387405396,5490,5497
QUANTITY,15,0.9179244637489319,5512,5514
OTHER,Latin,0.7479733824729919,5533,5538
DATE,1970,0.9914255142211914,5976,5980
QUANTITY,couple households,0.6730502247810364,6009,6026
QUANTITY,each of those instances,0.7834264636039734,6165,6188
QUANTITY,88.1%,0.9370294213294983,6216,6221
QUANTITY,one-parent families,0.90451580286026,6225,6244
QUANTITY,11.9%,0.9888640642166138,6286,6291
LOCATION,New York City,0.998153567314148,6452,6465
DATE,1983,0.9982195496559143,6469,6473
QUANTITY,"223,900 children",0.9787119626998901,6475,6491
QUANTITY,age of six,0.8309140205383301,6502,6512
QUANTITY,"77,400 places",0.9915951490402222,6571,6584
QUANTITY,99,0.9519625306129456,6988,6990
QUANTITY,100 cases,0.9872454404830933,6994,7003
OTHER,Latin,0.7779887318611145,7248,7253
QUANTITY,one reason,0.8442426919937134,7448,7458
QUANTITY,more than 90%,0.9319478273391724,7539,7552
QUANTITY,"90,000-women sample",0.905507504940033,7583,7602
QUANTITY,one study,0.8429226875305176,7749,7758
QUANTITY,around 30%,0.7756896018981934,7770,7780
QUANTITY,one person,0.8276026844978333,7842,7852
OTHER,Latin,0.8088149428367615,8073,8078
TITLE,Medicaid,0.24448704719543457,8116,8124
QUANTITY,about 40%,0.9365248084068298,8154,8163
ORGANIZATION,Medicaid,0.3626558184623718,8335,8343
ORGANIZATION,Medicaid,0.5231193900108337,8505,8513
QUANTITY,"$10,000 a year",0.9307167530059814,8531,8545
QUANTITY,"less than $10,000 a year",0.9602146148681641,8549,8573
QUANTITY,more than 50%,0.9010027050971985,8580,8593
OTHER,Latin,0.849368691444397,8635,8640
DATE,tomorrow,0.8711499571800232,8937,8945
QUANTITY,"$8,000",0.9547049403190613,9002,9008
QUANTITY,"$10,000 per year",0.9241103529930115,9012,9028
QUANTITY,50%,0.8781242370605469,9065,9068
LOCATION,United States,0.993099570274353,9085,9098
QUANTITY,"$7,610 a year",0.9102370142936707,9110,9123
QUANTITY,34 states,0.9861463904380798,9263,9272
QUANTITY,every 15 seconds,0.8098582029342651,9343,9359
OTHER,Latin,0.7158404588699341,9517,9522
OTHER,AIDS,0.5121299028396606,9753,9757
OTHER,HIV,0.9473437666893005,9895,9898
OTHER,AIDS,0.8746211528778076,9942,9946
QUANTITY,one,0.5097671747207642,10097,10100
QUANTITY,100%,0.9656569361686707,10446,10450
QUANTITY,second part,0.9234009981155396,11073,11084
QUANTITY,two,0.8617612719535828,11258,11261
QUANTITY,three,0.8956030607223511,11311,11316
QUANTITY,Four,0.9544703364372253,11366,11370
QUANTITY,Five,0.9696827530860901,11421,11425
QUANTITY,six,0.9489471912384033,11470,11473
QUANTITY,Seven,0.9569083452224731,11486,11491
DATE,19th,0.8872030377388,11621,11625
DATE,early 20th centuries,0.9362547397613525,11629,11649
PERSON,Witch,0.5007022023200989,11651,11656
LOCATION,Europe,0.9979453682899475,11666,11672
DATE,14th century,0.9968639612197876,11690,11702
PERSON,Florence Nightingale,0.8716713786125183,12262,12282
DATE,19th,0.9431376457214355,12630,12634
DATE,early 20th centuries,0.9767798185348511,12639,12659
OTHER,American,0.7351477146148682,12736,12744
QUANTITY,two distinct views,0.861534059047699,12805,12823
DATE,mid 19th century,0.9756982922554016,13313,13329
DATE,early 20th century,0.9783732891082764,13354,13372
OTHER,Greek,0.7318594455718994,13606,13611
DATE,1974,0.9971622824668884,13632,13636
PERSON,Lucien Warner,0.9995579123497009,13642,13655
OTHER,African,0.5826552510261536,13906,13913
QUANTITY,third class,0.8329994082450867,14441,14452
PERSON,JUDITH,0.52516770362854,14758,14764
PERSON,Judith,0.9778854846954346,14774,14780
QUANTITY,First,0.9179682731628418,14996,15001
DATE,1974,0.9978545308113098,15712,15716
ORGANIZATION,FDA,0.9828368425369263,15724,15727
LOCATION,US,0.9871906638145447,15831,15833
DATE,last decade,0.9250859022140503,15864,15875
QUANTITY,Two,0.76580411195755,15877,15880
LOCATION,US,0.9567221999168396,15881,15883
OTHER,Latino,0.859305739402771,15919,15925
ORGANIZATION,Depo-Provera,0.9463525414466858,15992,16004
QUANTITY,160th,0.9702211618423462,16032,16037
ORGANIZATION,Fortune 500,0.5269453525543213,16045,16056
DATE,last year,0.9746179580688477,16057,16066
QUANTITY,$305 million,0.998248815536499,16083,16095
ORGANIZATION,FDA,0.9814308881759644,16244,16247
QUANTITY,one study,0.824049711227417,16264,16273
DATE,late 1950s,0.9386654496192932,16304,16314
QUANTITY,132,0.836202085018158,16325,16328
OTHER,Puerto Rican,0.9603334665298462,16329,16341
QUANTITY,over a year,0.9349746704101562,16364,16375
QUANTITY,718 others,0.8920486569404602,16380,16390
QUANTITY,less than a year,0.9845680594444275,16403,16419
