type,text,proper_or_common,salience,num_mentions,mentions
PERSON,students,COMMON,0.2866907,12,"students, students, students, students, students, students, students, students, students, students, students, students"
OTHER,education,COMMON,0.2753675,16,"education, education, education, education, education, education, creature, education, education, education, education, education, education, education, education, education"
ORGANIZATION,institutions,COMMON,0.019959157,5,"institutions, institutions, institutions, institutions, institutions"
OTHER,society,COMMON,0.0085531585,6,"society, society, society, society, society, society"
OTHER,Campus level,COMMON,0.0050960206,1,Campus level
PERSON,students,COMMON,0.003728143,8,"students, students, students, students, students, students, piers, students"
OTHER,curriculum,COMMON,0.0035879216,3,"problem, curriculum, teaching"
OTHER,education,COMMON,0.0035009517,2,"education, education"
OTHER,life,COMMON,0.002884697,4,"life, life, life, life"
PERSON,students,COMMON,0.002861641,1,students
OTHER,development,COMMON,0.0027115738,2,"fact, development"
OTHER,measures,COMMON,0.002436466,2,"things, measures"
OTHER,society,COMMON,0.0022189978,4,"society, society, society, society"
PERSON,Studentssuccess,PROPER,0.0018032272,5,"Studentssuccess, Studentssuccess, Studentssuccess, Studentssuccess, Studentssuccess"
PERSON,students,COMMON,0.001781154,2,"students, students"
ORGANIZATION,Colleges,COMMON,0.0017685248,1,Colleges
OTHER,problems,COMMON,0.0017528022,1,problems
PERSON,students,COMMON,0.0017360157,1,students
PERSON,People,COMMON,0.001452776,1,People
OTHER,sort,COMMON,0.0014288882,1,sort
OTHER,belief system,COMMON,0.0014252723,1,belief system
OTHER,excellence,COMMON,0.00142461,5,"excellence, excellence, excellence, excellence, excellence"
OTHER,beliefs,COMMON,0.0014141025,2,"beliefs, beliefs"
OTHER,conception,COMMON,0.0013822067,2,"conception, conception"
PERSON,Bill,PROPER,0.0013800617,1,Bill
OTHER,way,COMMON,0.0013766006,2,"way, way"
OTHER,engagement,COMMON,0.0013515163,3,"engagement, engagement, engagement"
ORGANIZATION,institution,COMMON,0.0013370996,1,institution
PERSON,student,COMMON,0.0013062183,1,student
OTHER,resource,COMMON,0.0012851005,1,resource
OTHER,commitment,COMMON,0.0012765741,2,"commitment, definition"
OTHER,nothing,COMMON,0.0012765172,2,"nothing, nothing"
ORGANIZATION,organizations,COMMON,0.0012468884,1,organizations
OTHER,hand in hand,COMMON,0.0012317956,1,hand in hand
OTHER,job,COMMON,0.0012220623,1,job
PERSON,students,COMMON,0.0012148935,1,students
PERSON,students,COMMON,0.0012148158,1,students
PERSON,students,COMMON,0.0012130111,1,students
OTHER,generation,COMMON,0.0011988885,2,"generation, generation"
PERSON,personnel,COMMON,0.0011679765,1,personnel
OTHER,sort,COMMON,0.0011633284,1,sort
OTHER,problem,COMMON,0.0011471275,1,problem
ORGANIZATION,institutions,COMMON,0.0011464433,1,institutions
PERSON,professionals,COMMON,0.0011445584,1,professionals
PERSON,colleagues,COMMON,0.0011073097,2,"colleagues, colleagues"
PERSON,student,COMMON,0.0011015934,1,student
PERSON,students,COMMON,0.0011007716,1,students
OTHER,college species diversity,COMMON,0.0010930059,1,college species diversity
OTHER,philosophy studies,COMMON,0.0010899252,1,philosophy studies
PERSON,studentssuccess,COMMON,0.001086249,1,studentssuccess
OTHER,pegboard view,COMMON,0.0010618874,2,"pegboard view, pegboard view"
OTHER,engagement,COMMON,0.0010543684,2,"engagement, engagement"
OTHER,education,COMMON,0.0010500004,2,"education, mission"
OTHER,Earnings,COMMON,0.0010408169,1,Earnings
OTHER,thing,COMMON,0.0010340597,2,"thing, thing"
PERSON,students,COMMON,0.0010307198,1,students
OTHER,change,COMMON,0.0010218953,2,"change, change"
LOCATION,American,PROPER,0.0010032778,12,"American, American, American, American, American, American, American, American, American, United States, US, America"
OTHER,qualities,COMMON,0.000979029,2,"qualities, ones"
OTHER,development,COMMON,0.0009576783,1,development
OTHER,gospel,COMMON,0.0009552142,1,gospel
OTHER,equation,COMMON,0.0009548101,1,equation
OTHER,irony,COMMON,0.00095404184,1,irony
OTHER,citizenship,COMMON,0.0009510567,3,"citizenship, citizenship, citizenship"
PERSON,twins,COMMON,0.00093360036,1,twins
OTHER,Ji Young,PROPER,0.000909169,2,"Ji Young, task"
WORK_OF_ART,lecture,COMMON,0.0008740808,1,lecture
OTHER,system,COMMON,0.00085236924,1,system
PERSON,Lord,COMMON,0.00084209966,1,Lord
PERSON,students,COMMON,0.0008329163,1,students
OTHER,problems,COMMON,0.0008257508,1,problems
OTHER,fire education,COMMON,0.0008105292,1,fire education
OTHER,Higher Education,COMMON,0.00080992444,1,Higher Education
OTHER,education,COMMON,0.00080735737,1,education
OTHER,education,COMMON,0.0008060876,1,education
OTHER,delivery education,COMMON,0.0008024766,1,delivery education
OTHER,magnet school education,COMMON,0.0008019426,1,magnet school education
OTHER,republic systems,COMMON,0.0008012091,1,republic systems
OTHER,kind,COMMON,0.00079476106,1,kind
OTHER,kind,COMMON,0.00079176517,1,kind
OTHER,kind,COMMON,0.00078244664,1,kind
OTHER,beliefs,COMMON,0.0007702073,1,beliefs
PERSON,people,COMMON,0.0007690667,1,people
OTHER,toe function,COMMON,0.0007664565,2,"resource, toe function"
OTHER,society,COMMON,0.0007589485,2,"society, society"
OTHER,R. Smartness,PROPER,0.00074973627,4,"term, Smartness, R. Smartness, o"
OTHER,conception,COMMON,0.00073944393,2,"conception, conception"
OTHER,monies,COMMON,0.0007369753,1,monies
OTHER,effectiveness,COMMON,0.00073444017,1,effectiveness
OTHER,Trans,PROPER,0.00073154917,1,Trans
OTHER,institution,COMMON,0.00071941776,1,institution
OTHER,wonder,COMMON,0.00071736844,1,wonder
PERSON,colleagues,COMMON,0.0007173268,1,colleagues
OTHER,college,COMMON,0.0007147326,1,college
OTHER,college,COMMON,0.00071439415,1,college
ORGANIZATION,colleges,COMMON,0.0007124671,1,colleges
ORGANIZATION,Matters College,COMMON,0.00071186695,1,Matters College
OTHER,resource,COMMON,0.0007099184,1,resource
PERSON,students,COMMON,0.000699722,1,students
OTHER,student success,COMMON,0.00069056073,1,student success
OTHER,question,COMMON,0.00068826554,1,question
OTHER,success,COMMON,0.0006879575,1,success
