type,text,proper_or_common,salience,num_mentions,mentions
PERSON,scholars,COMMON,0.29569378,1,scholars
PERSON,students,COMMON,0.21721612,12,"students, students, students, students, students, students, students, students, students, students, students, students"
OTHER,education,COMMON,0.11190459,19,"education, education, education, education, education, education, education, creature, education, education, education, goal, education, education, education, education, education, education, education"
PERSON,Alexander Astin,PROPER,0.07477324,30,"Alexander Astin, Astin, Professor, Alexander Astin, author, Astin, Professor, Astin, Professor, ALEXANDER ASTIN, Astin, Dr., ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, ALEXANDER ASTIN, Astin, Dr."
ORGANIZATION,institutions,COMMON,0.011810753,5,"institutions, institutions, institutions, institutions, institutions"
OTHER,pleasure,COMMON,0.00511812,3,"SPEAKER, pleasure, SPEAKER"
OTHER,society,COMMON,0.004480235,5,"society, society, society, society, society"
OTHER,conception,COMMON,0.0037988373,4,"conception, conception, conception, conception"
PERSON,student,COMMON,0.003778755,1,student
PERSON,students,COMMON,0.0033288498,8,"students, students, students, students, students, students, peers, students"
PERSON,scholars,COMMON,0.0028989154,2,"people, scholars"
ORGANIZATION,colleges,COMMON,0.002845981,2,"colleges, colleges"
PERSON,adult students,COMMON,0.0027710132,1,adult students
PERSON,chancellor,COMMON,0.002355626,2,"Professor, chancellor"
OTHER,irony,COMMON,0.0022543606,1,irony
PERSON,students,COMMON,0.0021498508,1,students
OTHER,life,COMMON,0.001706023,4,"life, life, life, life"
PERSON,student,COMMON,0.0015421286,4,"student, student, student, student"
PERSON,AUDIENCE,COMMON,0.00149338,14,"AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE"
