type,text,proper_or_common,salience,num_mentions,mentions
PERSON,professor,COMMON,0.022007534,3,"professor, teacher, Father"
PERSON,students,COMMON,0.01927423,1,students
PERSON,people,COMMON,0.018584436,2,"people, people"
PERSON,Carter,PROPER,0.017229086,19,"Carter, Chancellor, President, Carter, Carter, Carter, Carter, Carter, Carter, Carter, Carter, Carter, Carter, Chancellor, Carter, Chancellor, Carter, Carter, Chancellor"
PERSON,Sutton,PROPER,0.01649912,13,"Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, Sutton, President, Sutton, President"
PERSON,Chancellor,COMMON,0.011038698,9,"Chancellor, Chancellor, Chancellor, Chancellor, Chancellor, Chancellor, Chancellor, Chancellor, Chancellor"
OTHER,obligation,COMMON,0.010988355,2,"cz, obligation"
OTHER,format,COMMON,0.008875014,1,format
ORGANIZATION,Bloomington Faculty Council,PROPER,0.007867011,5,"Council, Bloomington Faculty Council, Faculty Council, Faculty Council, Faculty Council"
PERSON,Keith Parker,PROPER,0.0075664874,6,"Parker, Keith Parker, Parker, Mr, Parker, Parker"
PERSON,students,COMMON,0.007464337,1,students
OTHER,policy,COMMON,0.0072157476,1,policy
LOCATION,Bloomington,PROPER,0.006983775,7,"Bloomington, Bloomington, town, Bloomington, Bloomington, Bloomington, Bloomington"
OTHER,rights,COMMON,0.006782214,6,"rights, rights, rights, rights, rights, rights"
PERSON,students,COMMON,0.006289251,1,students
PERSON,Sutton,PROPER,0.0058605564,9,"Sutton, Mr, Sutton, Mr, Sutton, Mr, Sutton, Mr, Mr"
PERSON,each other,COMMON,0.0054175355,1,each other
PERSON,Professor,COMMON,0.0049952343,1,Professor
PERSON,students,COMMON,0.00489374,1,students
PERSON,students,COMMON,0.00487292,1,students
OTHER,question,COMMON,0.004738165,2,"question, anything"
PERSON,moderator,COMMON,0.004722333,2,"moderator, student"
PERSON,students,COMMON,0.0046166494,1,students
OTHER,thing,COMMON,0.0045248633,1,thing
OTHER,recommendation,COMMON,0.0042812275,3,"recommendation, plan, plan"
PERSON,president,COMMON,0.004103396,2,"president, member"
OTHER,something,COMMON,0.0036140569,1,something
PERSON,president,COMMON,0.0035759849,2,"president, president"
PERSON,one,COMMON,0.003555393,1,one
OTHER,thing,COMMON,0.003431921,1,thing
OTHER,kind,COMMON,0.0032414848,1,kind
ORGANIZATION,Indiana University,PROPER,0.0032115811,6,"Indiana University, Indiana University, Indiana University, Indiana University, Indiana University, Indiana University"
PERSON,Waller,PROPER,0.0031612169,2,"Waller, student"
OTHER,result,COMMON,0.0030330108,2,"b, result"
OTHER,something,COMMON,0.0029851333,2,"something, something"
OTHER,issues,COMMON,0.002946638,1,issues
EVENT,mayhem,COMMON,0.0029243652,1,mayhem
PERSON,Professor of Law Harry,PROPER,0.002906744,3,"moderator, Professor of Law Harry, Harry"
OTHER,feet,COMMON,0.002846063,3,"feet, feet, feet"
PERSON,students,COMMON,0.0028202622,1,students
PERSON,Keith Parker,PROPER,0.0027900091,7,"Keith, Keith, Keith, Keith, president, Keith, Keith Parker"
ORGANIZATION,Evansville Press,PROPER,0.0027822042,2,"Evansville Press, Evansville Press"
OTHER,case,COMMON,0.0027588408,1,case
OTHER,stuff,COMMON,0.0027484677,1,stuff
PERSON,students,COMMON,0.0027476465,1,students
CONSUMER_GOOD,bag,COMMON,0.002658808,1,bag
OTHER,question,COMMON,0.002651395,4,"question, question, question, question"
OTHER,any,COMMON,0.0025706694,3,"any, any, any"
PERSON,Mike Jones,PROPER,0.0025440254,9,"Mike, Mike Jones, Mike, Mike, Mike, Mike, Mike, Mike, Mike"
OTHER,way,COMMON,0.0024792126,1,way
OTHER,diversion,COMMON,0.0024336462,2,"issue, diversion"
EVENT,classes,COMMON,0.0024331252,1,classes
PERSON,students,COMMON,0.002370945,2,"students, students"
PERSON,students,COMMON,0.0023701868,2,"students, students"
LOCATION,state,COMMON,0.0023439045,2,"state, state"
OTHER,choice,COMMON,0.0022945239,1,choice
OTHER,picket lines,COMMON,0.0022778912,1,picket lines
EVENT,meeting,COMMON,0.0022764902,1,meeting
EVENT,violation,COMMON,0.0022464332,1,violation
LOCATION,Thailand,PROPER,0.0022418892,11,"Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand"
