type,text,proper_or_common,salience,num_mentions,mentions
PERSON,JOSEPH SUTTON,PROPER,0.30541855,67,"JOSEPH SUTTON, JOSEPH SUTTON, Sutton, Mr., JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, Sutton, Mr., Sutton, Mr., Sutton, Mr., Sutton, Mr., JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON, JOSEPH SUTTON"
PERSON,BYRUM CARTER,PROPER,0.13870233,135,"Carter, Chancellor, Carter, Chancellor, Carter, Chancellor, Carter, Chancellor, BYRUM CARTER, Carter, Chancellor, BYRUM CARTER, BYRUM CARTER, Carter, Chancellor, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, Carter, Chancellor, Carter, Chancellor, Carter, Carter, Chancellor, Carter, Chancellor, Carter, Chancellor, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, Carter, Chancellor, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, Carter, Chancellor, AUDIENCE, AUDIENCE, president, member, Carter, Chancellor, BYRUM CARTER, BYRUM CARTER, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, BYRUM CARTER, BYRUM CARTER, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, Carter, Chancellor, BYRUM CARTER, AUDIENCE, BYRUM CARTER, AUDIENCE, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, BYRUM CARTER, AUDIENCE, Carter, Chancellor, BYRUM CARTER, BYRUM CARTER, AUDIENCE, Carter, Chancellor, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, Carter, Chancellor, BYRUM CARTER, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, BYRUM CARTER, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE"
OTHER,Harry Pratter,PROPER,0.08873291,62,"Harry Pratter, HARRY PRATTER, Harry Pratter, HARRY PRATTER, student, HARRY PRATTER, Pratter, Mr., HARRY PRATTER, co-moderator, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, AUDIENCE, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, Pratter, Mr., HARRY PRATTER, Pratter, Mr., HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, gentleman, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, HARRY PRATTER, Harry Pratter, HARRY PRATTER, HARRY PRATTER"
ORGANIZATION,Indiana University,PROPER,0.03860769,15,"Indiana University, IU, IU, IU, IU, IU, IU, Indiana University, IU, Indiana University, IU, IU, Indiana University, Indiana University, Indiana University"
PERSON,REPORTER,COMMON,0.017420394,12,"REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER, REPORTER"
PERSON,Sutton,PROPER,0.01711182,38,"Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, Sutton, Sutton, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, President, Sutton, Sutton, President"
PERSON,AUDIENCE,COMMON,0.0144099705,23,"AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE, AUDIENCE"
PERSON,Dale Pryweller,PROPER,0.009596432,48,"Pryweller, Mr., Dale Pryweller, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, DALE PRYWELLER, PRATTER, DALE PRYWELLER, DALE PRYWELLER, Dale Pryweller"
PERSON,students,COMMON,0.0066865575,1,students
OTHER,kind,COMMON,0.0062744864,1,kind
OTHER,rights,COMMON,0.005355309,6,"rights, rights, rights, rights, rights, rights"
OTHER,question,COMMON,0.004469761,4,"question, question, question, question"
OTHER,policy,COMMON,0.004452849,1,policy
OTHER,thing,COMMON,0.0038549441,2,"thing, war"
OTHER,thing,COMMON,0.003712827,3,"thing, thing, o"
OTHER,format,COMMON,0.0031783015,1,format
OTHER,summary,COMMON,0.0031586438,1,summary
OTHER,recommendation,COMMON,0.0029245534,5,"recommendation, plan, plan, plan, plan"
PERSON,students,COMMON,0.0026870137,1,students
PERSON,Keith Parker,PROPER,0.0026284365,29,"Keith Parker, student body president, KEITH PARKER, Keith Parker, Keith, Keith, Keith, Keith, president, Keith, Keith Parker, Keith Parker, Keith Parker, KEITH PARKER, KEITH PARKER, KEITH PARKER, KEITH PARKER, KEITH PARKER, KEITH PARKER, Keith Parker, KEITH PARKER, KEITH PARKER, KEITH PARKER, KEITH PARKER, KEITH PARKER, Parker, Mr., KEITH PARKER, KEITH PARKER"
PERSON,people,COMMON,0.0023235444,1,people
PERSON,student,COMMON,0.0022853944,2,"student, student"
PERSON,students,COMMON,0.002264596,1,students
ORGANIZATION,university,COMMON,0.0021546297,4,"university, university, university, university"
LOCATION,Thailand,PROPER,0.0021107893,12,"Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand"
PERSON,students,COMMON,0.0021081646,1,students
LOCATION,Bloomington,PROPER,0.002031595,11,"Bloomington, Bloomington, Bloomington, Bloomington, town, Bloomington, Bloomington, Bloomington, Bloomington, Bloomington, Bloomington"
OTHER,question,COMMON,0.0020195087,6,"question, question, question, question, question, question"
OTHER,question,COMMON,0.0018181531,1,question
OTHER,conscience,COMMON,0.0018005505,2,"conscience, source"
PERSON,students,COMMON,0.0017513052,1,students
OTHER,times,COMMON,0.0016822884,2,"times, times"
ORGANIZATION,university,COMMON,0.0016514806,3,"university, university, university"
PERSON,students,COMMON,0.0016487916,1,students
OTHER,thing,COMMON,0.001631693,1,thing
PERSON,moderator,COMMON,0.0016046999,2,"moderator, student"
PERSON,students,COMMON,0.001593007,1,students
OTHER,something,COMMON,0.0015283105,2,"something, something"
OTHER,obligation,COMMON,0.001394614,2,"obligation, obligation"
EVENT,meeting,COMMON,0.0013550745,2,"meeting, meeting"
OTHER,word,COMMON,0.0013241376,1,word
WORK_OF_ART,report,COMMON,0.0013212379,2,"report, report"
OTHER,B plus,COMMON,0.0012396175,2,"B plus, one"
OTHER,response,COMMON,0.0012146373,1,response
OTHER,feet,COMMON,0.0011953787,3,"feet, feet, feet"
OTHER,something,COMMON,0.0011854336,1,something
PERSON,AUDIENCE,COMMON,0.0011384572,3,"AUDIENCE, AUDIENCE, AUDIENCE"
OTHER,result,COMMON,0.0010716948,2,"B, result"
OTHER,issues,COMMON,0.0010397478,1,issues
PERSON,students,COMMON,0.0010152663,1,students
OTHER,case,COMMON,0.0009892319,1,case
PERSON,students,COMMON,0.0009873753,1,students
OTHER,stuff,COMMON,0.0009706724,1,stuff
OTHER,picket lines,COMMON,0.0009570575,2,"picket lines, picket lines"
PERSON,many,COMMON,0.00095453777,2,"many, many"
CONSUMER_GOOD,bag,COMMON,0.0009525779,1,bag
OTHER,classes,COMMON,0.0009265539,1,classes
OTHER,things,COMMON,0.0009247521,1,things
PERSON,people,COMMON,0.00090993114,1,people
PERSON,AUDIENCE,COMMON,0.00088868703,2,"AUDIENCE, AUDIENCE"
PERSON,students,COMMON,0.0008536158,2,"students, students"
PERSON,students,COMMON,0.00085335143,2,"students, students"
EVENT,meeting,COMMON,0.0008042407,1,meeting
PERSON,one,COMMON,0.00080327597,1,one
LOCATION,Indiana,PROPER,0.0007957662,6,"Indiana, Indiana, Indiana, Indiana, Indiana, Indiana"
EVENT,violation,COMMON,0.0007955628,1,violation
PERSON,AUDIENCE,COMMON,0.00077946007,2,"AUDIENCE, Sir"
OTHER,lot,COMMON,0.0007751165,1,lot
PERSON,audience,COMMON,0.00075415627,1,audience
PERSON,people,COMMON,0.00075240456,1,people
OTHER,recommendation,COMMON,0.0007415695,1,recommendation
OTHER,move,COMMON,0.0007365679,1,move
PERSON,people,COMMON,0.00072631805,1,people
PERSON,administrators,COMMON,0.00071910024,1,administrators
PERSON,president,COMMON,0.00070394704,2,"president, president"
PERSON,students,COMMON,0.0006948543,1,students
PERSON,Vice President,COMMON,0.00068744266,2,"speaker, Vice President"
PERSON,students,COMMON,0.00068551785,1,students
OTHER,problems,COMMON,0.0006767297,1,problems
PERSON,students,COMMON,0.0006742686,1,students
PERSON,student,COMMON,0.0006739153,1,student
PERSON,student,COMMON,0.00067374425,1,student
OTHER,Number,COMMON,0.00067038584,2,"Number, thing"
PERSON,people,COMMON,0.0006697233,1,people
LOCATION,state,COMMON,0.00066880544,2,"state, state"
PERSON,students,COMMON,0.000667451,1,students
PERSON,students,COMMON,0.0006669945,1,students
PERSON,people,COMMON,0.00066064263,1,people
PERSON,people,COMMON,0.0006604816,1,people
WORK_OF_ART,statement,COMMON,0.00065326074,1,statement
OTHER,thing,COMMON,0.0006527082,1,thing
PERSON,kids,COMMON,0.0006471402,1,kids
PERSON,one,COMMON,0.0006421376,1,one
PERSON,students,COMMON,0.0006340739,1,students
PERSON,people,COMMON,0.0006333711,1,people
OTHER,question,COMMON,0.0006330992,1,question
PERSON,people,COMMON,0.0006320566,1,people
ORGANIZATION,newspapers,COMMON,0.0006303142,1,newspapers
OTHER,question,COMMON,0.0006299076,1,question
OTHER,question,COMMON,0.000629388,1,question
OTHER,question,COMMON,0.0006293166,1,question
OTHER,question,COMMON,0.0006292458,1,question
PERSON,representatives,COMMON,0.00062916614,1,representatives
OTHER,questions,COMMON,0.0006287021,1,questions
OTHER,thing,COMMON,0.000619482,1,thing
PERSON,people,COMMON,0.00061713153,1,people
PERSON,AUDIENCE,COMMON,0.0006116368,2,"AUDIENCE, AUDIENCE"
OTHER,obligation,COMMON,0.00060157606,1,obligation
PERSON,people,COMMON,0.00059501344,2,"people, people"
PERSON,people,COMMON,0.00059110264,1,people
PERSON,people,COMMON,0.0005909136,1,people
OTHER,rights,COMMON,0.00058903574,2,"rights, rights"
ORGANIZATION,faculty council,COMMON,0.0005854063,1,faculty council
EVENT,occasion,COMMON,0.0005818886,1,occasion
OTHER,chance,COMMON,0.00058183435,1,chance
ORGANIZATION,administration,COMMON,0.0005762414,1,administration
EVENT,speech,COMMON,0.0005747775,1,speech
PERSON,people,COMMON,0.00056512735,2,"people, people"
OTHER,matter,COMMON,0.0005613851,1,matter
OTHER,thing,COMMON,0.0005600714,1,thing
LOCATION,ROTC,PROPER,0.0005597666,9,"ROTC, ROTC, ROTC, ROTC, ROTC, ROTC, ROTC, ROTC, ROTC"
PERSON,marshals,COMMON,0.0005551906,1,marshals
OTHER,question,COMMON,0.0005540821,2,"question, question"
OTHER,rights,COMMON,0.0005479232,2,"rights, rights"
WORK_OF_ART,report,COMMON,0.0005448703,1,report
ORGANIZATION,university,COMMON,0.00053716043,1,university
PERSON,people,COMMON,0.0005299695,1,people
WORK_OF_ART,statement,COMMON,0.00052987307,1,statement
LOCATION,Evansville,PROPER,0.0005289299,5,"Evansville, Evansville, Evansville, Evansville, Evansville"
PERSON,Well- CHUCK TURNER,PROPER,0.0005263748,5,"Well- CHUCK TURNER, Turner, Mr., Turner, Mr."
OTHER,statements,COMMON,0.0005259327,1,statements
WORK_OF_ART,statement,COMMON,0.0005239278,1,statement
OTHER,statement,COMMON,0.000522183,1,statement
OTHER,something,COMMON,0.0005208277,1,something
OTHER,government contracts,COMMON,0.0005193576,2,"government contracts, government contracts"
OTHER,truth,COMMON,0.00051887805,2,"truth, truth"
PERSON,faculty,COMMON,0.00051856,1,faculty
PERSON,students,COMMON,0.00051701977,1,students
OTHER,ugliness,COMMON,0.0005145802,1,ugliness
ORGANIZATION,law school,COMMON,0.00051331514,1,law school
OTHER,responsibility,COMMON,0.00050680223,2,"meeting, responsibility"
OTHER,one,COMMON,0.00050184363,1,one
OTHER,one,COMMON,0.00050024246,1,one
PERSON,reporter,COMMON,0.0004920982,1,reporter
OTHER,something,COMMON,0.0004888988,1,something
PERSON,President,COMMON,0.0004886983,1,President
LOCATION,campus,COMMON,0.0004884215,1,campus
PERSON,AUDIENCE,COMMON,0.00048555125,2,"AUDIENCE, faculty"
LOCATION,campuses,COMMON,0.00048427007,1,campuses
PERSON,Chuck CHUCK TURNER,PROPER,0.00048265338,14,"Chuck Turner, CHUCK TURNER, CHUCK TURNER, Sir, Chuck, Chuck CHUCK TURNER, CHUCK TURNER, CHUCK TURNER, CHUCK TURNER, CHUCK TURNER, CHUCK TURNER, CHUCK TURNER, CHUCK TURNER, CHUCK TURNER"
PERSON,students,COMMON,0.00048027444,1,students
LOCATION,campus,COMMON,0.00047564902,1,campus
OTHER,some,COMMON,0.0004740388,1,some
OTHER,answer,COMMON,0.00047342098,1,answer
OTHER,money,COMMON,0.00047177315,1,money
PERSON,President,COMMON,0.00047095923,2,"President, president"
EVENT,meeting,COMMON,0.00046653723,1,meeting
