type,text,proper_or_common,salience,num_mentions,mentions
OTHER,faculty council election,COMMON,0.6065871,22,"bible, bible, b, mayhem, point, choice, b, faculty council election, resolution, possibility, b, pacific, recommendation, answer, point, question, understanding, lot, mandate, bill, end, essence"
PERSON,people,COMMON,0.24034703,1,people
PERSON,thousands,COMMON,0.02481532,1,thousands
PERSON,student,COMMON,0.003217776,1,student
PERSON,president,COMMON,0.002178568,2,"man, president"
OTHER,kind,COMMON,0.002090579,1,kind
PERSON,people,COMMON,0.001958011,1,people
OTHER,rights,COMMON,0.0017193328,4,"rights, rights, rights, rights"
PERSON,students,COMMON,0.0015157779,1,students
OTHER,question,COMMON,0.0014412632,2,"question, policy"
EVENT,meeting,COMMON,0.0013323416,1,meeting
OTHER,response,COMMON,0.0011014623,1,response
PERSON,students,COMMON,0.00097372435,1,students
PERSON,seventy,COMMON,0.0008606274,1,seventy
OTHER,statements,COMMON,0.00085513515,1,statements
PERSON,students,COMMON,0.00083448726,1,students
EVENT,classes,COMMON,0.00080284814,1,classes
PERSON,president,COMMON,0.0007822105,1,president
PERSON,students,COMMON,0.00073789095,1,students
PERSON,students,COMMON,0.00073649286,1,students
PERSON,students,COMMON,0.0005938764,1,students
OTHER,picket lines,COMMON,0.00055000116,1,picket lines
LOCATION,thailand,PROPER,0.000544942,11,"thailand, thailand, thailand, thailand, thailand, thailand, thailand, thailand, thailand, thailand, thailand"
PERSON,people,COMMON,0.0005264957,2,"people, people"
PERSON,marshall,COMMON,0.0005155747,1,marshall
ORGANIZATION,law school,COMMON,0.00051282265,1,law school
OTHER,number,COMMON,0.0005098629,1,number
OTHER,issues,COMMON,0.00049012556,1,issues
WORK_OF_ART,newspapers,COMMON,0.00046853218,2,"newspapers, newspapers"
LOCATION,campus,COMMON,0.00046580346,1,campus
OTHER,right,COMMON,0.0004415044,1,right
PERSON,people,COMMON,0.00043448544,1,people
OTHER,demands,COMMON,0.0004325371,1,demands
OTHER,end,COMMON,0.00042243494,1,end
OTHER,response,COMMON,0.00042087922,1,response
PERSON,meeting professor,COMMON,0.00042066927,1,meeting professor
LOCATION,state,COMMON,0.0004144163,2,"state, state"
OTHER,reason,COMMON,0.0004082239,1,reason
OTHER,name,COMMON,0.00040530876,1,name
OTHER,instance,COMMON,0.00040306983,1,instance
EVENT,meeting,COMMON,0.00038366584,1,meeting
OTHER,obligation,COMMON,0.00038342763,1,obligation
EVENT,meeting,COMMON,0.0003807982,1,meeting
OTHER,something,COMMON,0.00037598077,1,something
OTHER,law,COMMON,0.00037312825,1,law
OTHER,law,COMMON,0.00037312825,1,law
OTHER,conscience,COMMON,0.00036191728,1,conscience
OTHER,picket lines,COMMON,0.00036191728,1,picket lines
OTHER,conscience,COMMON,0.00036191728,1,conscience
OTHER,budget,COMMON,0.00036068607,2,"budget, case"
PERSON,students,COMMON,0.00035935096,2,"students, students"
EVENT,announcement,COMMON,0.00035217518,1,announcement
LOCATION,indiana,PROPER,0.00034901864,4,"indiana, indiana, indiana, indiana"
OTHER,divisions,COMMON,0.00034140502,1,divisions
OTHER,divisions,COMMON,0.00034140502,1,divisions
PERSON,president,COMMON,0.00033928064,2,"witness, president"
PERSON,people,COMMON,0.00033516242,1,people
EVENT,speech,COMMON,0.0003269984,1,speech
OTHER,student body,COMMON,0.0003228693,1,student body
OTHER,actions,COMMON,0.0003228693,1,actions
PERSON,person,COMMON,0.0003228693,1,person
PERSON,demonstrators,COMMON,0.0003228693,1,demonstrators
PERSON,people,COMMON,0.0003190569,1,people
OTHER,thing,COMMON,0.0003177891,1,thing
WORK_OF_ART,statement,COMMON,0.00031656589,1,statement
PERSON,people,COMMON,0.00031547784,1,people
PERSON,mike,COMMON,0.0003130566,1,mike
OTHER,rights,COMMON,0.0003073889,2,"rights, rights"
PERSON,moderator,COMMON,0.00030732426,1,moderator
OTHER,moderator,COMMON,0.00030732426,1,moderator
OTHER,source,COMMON,0.00030348214,1,source
OTHER,things,COMMON,0.00030318924,1,things
OTHER,questions,COMMON,0.00030276997,1,questions
OTHER,thing,COMMON,0.000301688,1,thing
PERSON,patients,COMMON,0.0002982305,1,patients
OTHER,place,COMMON,0.00029785457,1,place
PERSON,students,COMMON,0.00029771365,1,students
PERSON,faculty,COMMON,0.0002902123,2,"faculty, faculty"
PERSON,group,COMMON,0.00028990113,1,group
OTHER,end,COMMON,0.00028990113,1,end
OTHER,access,COMMON,0.00028990113,1,access
OTHER,optimism,COMMON,0.00028990113,1,optimism
