type,text,proper_or_common,salience,num_mentions,mentions
OTHER,spiders,COMMON,0.40870947,1,spiders
PERSON,detective,COMMON,0.013492852,1,detective
OTHER,dance,COMMON,0.005882018,1,dance
ORGANIZATION,agencies,COMMON,0.005828644,1,agencies
OTHER,abortion,COMMON,0.005563921,2,"abortion, abortion"
OTHER,mail,COMMON,0.0053630485,1,mail
OTHER,Black West,PROPER,0.0051946724,2,"Black West, racial"
PERSON,Women,COMMON,0.0051888954,1,Women
PERSON,women,COMMON,0.0051762434,1,women
PERSON,Others,COMMON,0.0044830693,1,Others
OTHER,example,COMMON,0.004341367,1,example
OTHER,mine statistics,COMMON,0.004149557,1,mine statistics
OTHER,Work,COMMON,0.0039721117,1,Work
PERSON,children,COMMON,0.003955323,1,children
PERSON,people,COMMON,0.003879512,1,people
PERSON,people,COMMON,0.003879512,1,people
OTHER,Fine,COMMON,0.003752291,1,Fine
OTHER,access,COMMON,0.0037509128,1,access
OTHER,access,COMMON,0.0037379966,1,access
OTHER,access,COMMON,0.0037340815,1,access
OTHER,access,COMMON,0.0037177275,1,access
OTHER,Fine,COMMON,0.0037127798,1,Fine
OTHER,Example,COMMON,0.0036587797,1,Example
OTHER,example,COMMON,0.0035870255,1,example
OTHER,abortion,COMMON,0.0034543446,2,"abortion, abortion"
OTHER,money,COMMON,0.0034491813,1,money
LOCATION,states,COMMON,0.0034491813,1,states
OTHER,policy,COMMON,0.0034375596,2,"policy, stuff"
OTHER,money,COMMON,0.0034304769,1,money
OTHER,Sex,COMMON,0.003359229,1,Sex
OTHER,care,COMMON,0.0033294577,1,care
OTHER,situation,COMMON,0.0032878262,1,situation
OTHER,statistics,COMMON,0.003126623,1,statistics
OTHER,situation,COMMON,0.0031195902,1,situation
OTHER,situation,COMMON,0.003088105,1,situation
OTHER,Anyone situation,COMMON,0.003087444,1,Anyone situation
PERSON,women,COMMON,0.0030862435,1,women
PERSON,children,COMMON,0.0030849108,1,children
PERSON,children,COMMON,0.0030825378,1,children
PERSON,others,COMMON,0.0028925838,1,others
OTHER,experience,COMMON,0.0028665287,1,experience
PERSON,principal,COMMON,0.0028610202,1,principal
OTHER,line,COMMON,0.0028186878,1,line
OTHER,principle,COMMON,0.0027595456,1,principle
PERSON,majority,COMMON,0.0027445385,1,majority
OTHER,Medicaid,PROPER,0.0027303873,1,Medicaid
OTHER,part,COMMON,0.002670517,1,part
OTHER,Obligation,COMMON,0.002661713,1,Obligation
OTHER,operation,COMMON,0.0026478283,1,operation
OTHER,mind,COMMON,0.0026300089,1,mind
LOCATION,Sit,PROPER,0.0026187177,1,Sit
OTHER,life,COMMON,0.002596695,1,life
PERSON,researcher,COMMON,0.0025674184,1,researcher
OTHER,test,COMMON,0.0024990127,1,test
OTHER,AIDS,COMMON,0.002454539,2,"AIDS, AIDS"
EVENT,sex organs,COMMON,0.002424785,2,"sex organs, sessions"
ORGANIZATION,groups,COMMON,0.0023505772,1,groups
OTHER,hair cakes,COMMON,0.0023330948,1,hair cakes
PERSON,Researchers,COMMON,0.0023260233,1,Researchers
OTHER,self help,COMMON,0.002324426,1,self help
OTHER,Discrimination,COMMON,0.0023214782,1,Discrimination
OTHER,language,COMMON,0.0023214782,1,language
OTHER,patience,COMMON,0.0023214782,1,patience
PERSON,TV bucks,COMMON,0.0023205413,1,TV bucks
ORGANIZATION,Institutional,COMMON,0.0023179038,1,Institutional
OTHER,age,COMMON,0.0023179038,1,age
OTHER,heart,COMMON,0.0023105585,1,heart
PERSON,lesbians,COMMON,0.0023105585,1,lesbians
OTHER,Category,COMMON,0.0023099193,1,Category
OTHER,Vegetables,COMMON,0.0023080849,1,Vegetables
OTHER,support system,COMMON,0.0023022294,1,support system
OTHER,weather,COMMON,0.002301753,1,weather
OTHER,custody,COMMON,0.0022990538,1,custody
OTHER,poverty level,COMMON,0.0022986284,1,poverty level
OTHER,sexual harassment,COMMON,0.002296988,1,sexual harassment
OTHER,light,COMMON,0.002295818,1,light
OTHER,marriage,COMMON,0.0022524816,1,marriage
PERSON,maids,COMMON,0.0022362573,1,maids
PERSON,Miss,COMMON,0.0022077546,1,Miss
OTHER,sterilization operation,COMMON,0.0022064566,1,sterilization operation
OTHER,face,COMMON,0.0021947343,1,face
PERSON,Tracy Wait,PROPER,0.0020643603,2,"Tracy Wait, Wait"
OTHER,issues,COMMON,0.002020577,1,issues
OTHER,tears,COMMON,0.0020198117,1,tears
PERSON,women,COMMON,0.0019806973,1,women
OTHER,hands,COMMON,0.0019515356,1,hands
PERSON,women,COMMON,0.0019284701,1,women
LOCATION,France,PROPER,0.0018661433,2,"France, France"
EVENT,race,COMMON,0.0018468535,1,race
OTHER,Cases,COMMON,0.0018421855,1,Cases
PERSON,Sonny,PROPER,0.0017539923,1,Sonny
PERSON,Charlie,PROPER,0.0017390527,1,Charlie
OTHER,issues,COMMON,0.0017216376,1,issues
PERSON,People,COMMON,0.0017128963,1,People
OTHER,abortion rights action,COMMON,0.0016539682,1,abortion rights action
PERSON,nobody,COMMON,0.001653659,1,nobody
PERSON,women,COMMON,0.0015990968,1,women
OTHER,class,COMMON,0.0015952546,1,class
PERSON,communities,COMMON,0.0015934147,1,communities
LOCATION,Nation,COMMON,0.0015521506,1,Nation
OTHER,politics,COMMON,0.0015497834,1,politics
OTHER,lot,COMMON,0.0014968319,1,lot
LOCATION,store,COMMON,0.0014717501,1,store
OTHER,procedure,COMMON,0.0014629764,2,"portion, procedure"
OTHER,Work,COMMON,0.0014445336,1,Work
OTHER,Work,COMMON,0.0014443848,1,Work
OTHER,movement,COMMON,0.0014421563,1,movement
OTHER,Fine,COMMON,0.0013987744,1,Fine
OTHER,abortions,COMMON,0.0013955309,1,abortions
PERSON,Harry,PROPER,0.0013887048,1,Harry
PERSON,Barry,PROPER,0.0013734344,1,Barry
PERSON,Sam Energy,PROPER,0.0013705641,1,Sam Energy
LOCATION,Dallas,PROPER,0.0013668034,1,Dallas
ORGANIZATION,Census Bureau,PROPER,0.0013652003,1,Census Bureau
PERSON,A. Want,PROPER,0.001358401,1,A. Want
PERSON,Oh,PROPER,0.0013581496,1,Oh
OTHER,Beans,PROPER,0.001355397,1,Beans
OTHER,life,COMMON,0.0013438588,1,life
OTHER,inflammatory,COMMON,0.00134294,1,inflammatory
PERSON,Hayes Wei,PROPER,0.0013372229,1,Hayes Wei
PERSON,women,COMMON,0.0013083289,1,women
PERSON,Women,COMMON,0.0013081591,1,Women
PERSON,women,COMMON,0.0013081029,1,women
OTHER,demands,COMMON,0.0013076125,1,demands
PERSON,women,COMMON,0.001298673,1,women
PERSON,women,COMMON,0.0012981759,1,women
PERSON,Women,COMMON,0.001297615,1,Women
PERSON,women,COMMON,0.0012961862,1,women
OTHER,Sterilization,COMMON,0.0012850871,1,Sterilization
WORK_OF_ART,statement,COMMON,0.0012833785,1,statement
LOCATION,States,COMMON,0.0012826349,1,States
OTHER,money,COMMON,0.0012822759,1,money
PERSON,people,COMMON,0.0012796152,1,people
OTHER,Abortion,COMMON,0.00125267,1,Abortion
OTHER,issue,COMMON,0.0012342867,1,issue
OTHER,sex,COMMON,0.0012205272,1,sex
PERSON,women,COMMON,0.001195698,1,women
OTHER,lives,COMMON,0.0011913388,1,lives
OTHER,community,COMMON,0.001162298,1,community
OTHER,action,COMMON,0.0011532829,1,action
PERSON,researchers,COMMON,0.0011511613,1,researchers
OTHER,procedures,COMMON,0.0011335675,1,procedures
OTHER,abortion,COMMON,0.0011105987,1,abortion
OTHER,sickness,COMMON,0.0011050198,1,sickness
OTHER,most,COMMON,0.0010825421,1,most
OTHER,power,COMMON,0.0010815784,1,power
OTHER,procedures,COMMON,0.0010735072,1,procedures
EVENT,Session,COMMON,0.0010732587,1,Session
EVENT,session,COMMON,0.0010723855,1,session
OTHER,access,COMMON,0.0010602835,1,access
OTHER,tests,COMMON,0.0010570323,1,tests
PERSON,man,COMMON,0.0010456686,1,man
OTHER,consideration,COMMON,0.0010411172,1,consideration
OTHER,Gonorrhea,COMMON,0.0010376585,1,Gonorrhea
OTHER,gonorrhea,COMMON,0.0010372492,1,gonorrhea
PERSON,man,COMMON,0.0010215401,1,man
OTHER,abortion,COMMON,0.0010153232,1,abortion
PERSON,woman,COMMON,0.0009835289,1,woman
OTHER,security,COMMON,0.00098288,1,security
PERSON,president,COMMON,0.0009819685,1,president
OTHER,Cancer,COMMON,0.0009811214,1,Cancer
PERSON,majority,COMMON,0.0009791191,1,majority
OTHER,side,COMMON,0.0009789665,1,side
EVENT,memory loss,COMMON,0.0009788909,1,memory loss
OTHER,loss,COMMON,0.0009788909,1,loss
OTHER,Obligations,COMMON,0.0009787411,1,Obligations
OTHER,methods,COMMON,0.0009783749,1,methods
OTHER,rhythm method,COMMON,0.0009783749,1,rhythm method
OTHER,mail,COMMON,0.0009783749,1,mail
OTHER,industries,COMMON,0.0009778112,1,industries
PERSON,Scientists,COMMON,0.0009776065,1,Scientists
PERSON,people,COMMON,0.00097593525,1,people
OTHER,work,COMMON,0.00096898945,1,work
OTHER,lot,COMMON,0.00094772474,1,lot
OTHER,lot,COMMON,0.0009469323,1,lot
OTHER,Fine,COMMON,0.0009436451,1,Fine
OTHER,testicles,COMMON,0.0009369729,1,testicles
OTHER,test,COMMON,0.00093552977,1,test
OTHER,access,COMMON,0.00093332876,1,access
OTHER,Gonorrhea,COMMON,0.00092868885,1,Gonorrhea
PERSON,Women,COMMON,0.0009211629,1,Women
OTHER,issue,COMMON,0.0009194564,1,issue
OTHER,war doctors life,COMMON,0.0009093478,1,war doctors life
OTHER,everything,COMMON,0.0009088493,1,everything
LOCATION,state,COMMON,0.0009000998,1,state
OTHER,life,COMMON,0.0008995268,1,life
PERSON,women,COMMON,0.00089853845,1,women
PERSON,women,COMMON,0.00089785684,1,women
OTHER,work,COMMON,0.0008932348,1,work
PERSON,doctors,COMMON,0.00087112316,1,doctors
PERSON,doctor,COMMON,0.00087112316,1,doctor
PERSON,doctors,COMMON,0.000871002,1,doctors
OTHER,prostitute escape,COMMON,0.0008665575,1,prostitute escape
OTHER,office,COMMON,0.0008644879,1,office
OTHER,sterilization,COMMON,0.000864353,1,sterilization
EVENT,Puberty crisis,COMMON,0.00086407847,1,Puberty crisis
PERSON,doctors,COMMON,0.0008637868,1,doctors
PERSON,Assistant,COMMON,0.0008635881,1,Assistant
OTHER,gonorrhea,COMMON,0.0008634612,1,gonorrhea
OTHER,gonorrhea,COMMON,0.0008632496,1,gonorrhea
EVENT,Death,COMMON,0.0008623258,1,Death
OTHER,testing,COMMON,0.0008623197,1,testing
OTHER,advice,COMMON,0.0008610476,1,advice
OTHER,cramps shield,COMMON,0.000860751,1,cramps shield
OTHER,kind,COMMON,0.0008599086,1,kind
OTHER,Tails,COMMON,0.0008595115,1,Tails
EVENT,separation,COMMON,0.0008593824,1,separation
PERSON,female,COMMON,0.0008593185,1,female
OTHER,diagram,COMMON,0.0008592549,1,diagram
OTHER,Illegality,COMMON,0.00085900445,1,Illegality
EVENT,term,COMMON,0.00085888145,1,term
OTHER,doses,COMMON,0.0008585801,1,doses
PERSON,men,COMMON,0.0008585801,1,men
OTHER,Email,COMMON,0.0008585209,1,Email
OTHER,safes,COMMON,0.000858462,1,safes
OTHER,Issue regulations,COMMON,0.00083905313,1,Issue regulations
OTHER,pill,COMMON,0.00083863176,1,pill
OTHER,industry,COMMON,0.0008331547,1,industry
OTHER,commonality,COMMON,0.00083233573,1,commonality
OTHER,Gonorrhea,COMMON,0.0008321418,1,Gonorrhea
OTHER,self help groups,COMMON,0.000829726,1,self help groups
OTHER,way,COMMON,0.00082893996,1,way
ORGANIZATION,Supreme court,COMMON,0.0008277282,1,Supreme court
OTHER,Sex,COMMON,0.00082054496,1,Sex
OTHER,AIDS activist movement,COMMON,0.00081989856,1,AIDS activist movement
PERSON,woman,COMMON,0.00081349636,1,woman
WORK_OF_ART,magazine,COMMON,0.00080790155,1,magazine
OTHER,Money,COMMON,0.00079598953,1,Money
PERSON,Man,COMMON,0.0007958561,1,Man
PERSON,Teo,PROPER,0.0007889631,2,"Teo, Teo"
EVENT,war,COMMON,0.0007825586,1,war
OTHER,service,COMMON,0.0007819321,1,service
OTHER,thing,COMMON,0.00078124425,1,thing
PERSON,child,COMMON,0.00078098243,1,child
OTHER,service,COMMON,0.0007809181,1,service
EVENT,war,COMMON,0.00078079075,1,war
OTHER,response,COMMON,0.000775414,1,response
OTHER,research,COMMON,0.0007753654,1,research
PERSON,Many,COMMON,0.0007745754,1,Many
OTHER,self help supplies,COMMON,0.00077034277,1,self help supplies
OTHER,abortion,COMMON,0.00076322025,1,abortion
OTHER,Fire,COMMON,0.0007580185,1,Fire
EVENT,Fight,COMMON,0.0007578603,1,Fight
ORGANIZATION,groups,COMMON,0.0007576791,1,groups
OTHER,fire,COMMON,0.0007576535,1,fire
OTHER,minorities,COMMON,0.0007506254,1,minorities
OTHER,fire,COMMON,0.0007479362,1,fire
EVENT,fight,COMMON,0.00073663617,1,fight
OTHER,ultrasound,COMMON,0.0007312634,1,ultrasound
PERSON,guys,COMMON,0.000729756,1,guys
OTHER,response,COMMON,0.0007291057,1,response
OTHER,care,COMMON,0.0007282122,1,care
OTHER,body,COMMON,0.0007270965,1,body
PERSON,Vito,PROPER,0.0007259033,1,Vito
OTHER,number,COMMON,0.0007253372,1,number
OTHER,ultrasound,COMMON,0.00072265026,1,ultrasound
OTHER,ultrasound,COMMON,0.00072240777,1,ultrasound
PERSON,trustees,COMMON,0.00072236004,1,trustees
OTHER,case,COMMON,0.0007206768,1,case
OTHER,principles,COMMON,0.0007201806,1,principles
OTHER,practice,COMMON,0.00072014355,1,practice
OTHER,many,COMMON,0.00071430986,1,many
OTHER,classes,COMMON,0.0007142409,1,classes
OTHER,ways,COMMON,0.00071230804,1,ways
OTHER,lot,COMMON,0.0007106464,1,lot
