type,text,proper_or_common,salience,num_mentions,mentions
OTHER,health movement,COMMON,0.6454534,26,"health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, health movement, point, health movement, health movement, abortion"
OTHER,issue,COMMON,0.03126756,20,"AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, issue, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS, AIDS"
PERSON,women,COMMON,0.010409534,2,"women, women"
OTHER,status,COMMON,0.010254802,4,"status, status, status, status"
OTHER,50%,COMMON,0.005222403,2,"50%, 50%"
PERSON,women,COMMON,0.005215938,6,"women, women, women, women, women, women"
PERSON,women,COMMON,0.004710291,4,"women, women, women, women"
PERSON,women,COMMON,0.0045897346,2,"women, women"
PERSON,women,COMMON,0.0034487355,3,"women, women, women"
OTHER,establishment,COMMON,0.0033932999,10,"establishment, establishment, establishment, establishment, establishment, establishment, establishment, establishment, establishment, establishment"
PERSON,women,COMMON,0.0033779002,3,"women, women, women"
OTHER,Medicaid,PROPER,0.0031108693,8,"Medicaid, Medicaid, Medicaid, Medicaid, Medicaid, Medicaid, Medicaid, Medicaid"
OTHER,discrimination,COMMON,0.0028802278,6,"discrimination, discrimination, discrimination, discrimination, discrimination, discrimination"
PERSON,lesbians,COMMON,0.0027055764,1,lesbians
ORGANIZATION,INTERVIEWER,COMMON,0.002694671,3,"INTERVIEWER, INTERVIEWER, INTERVIEWER"
PERSON,women,COMMON,0.0025230546,1,women
OTHER,invisibility,COMMON,0.0021755141,3,"invisibility, form, invisibility"
OTHER,labor force,COMMON,0.0018939794,3,"labor force, labor force, labor force"
PERSON,women,COMMON,0.0018562343,1,women
PERSON,Women,COMMON,0.0018420564,2,"Women, women"
PERSON,women,COMMON,0.001760114,1,women
PERSON,Women,COMMON,0.0017513633,1,Women
PERSON,women,COMMON,0.0017426559,1,women
PERSON,women,COMMON,0.0017347964,1,women
PERSON,women,COMMON,0.0017267226,1,women
PERSON,women,COMMON,0.0017200776,1,women
PERSON,Women,COMMON,0.0017089894,1,Women
PERSON,women,COMMON,0.0017085173,1,women
PERSON,women,COMMON,0.0016045799,1,women
LOCATION,United States,PROPER,0.0015646754,12,"United States, United States, United States, United States, US, US, US, US, US, United States, United States of America, American"
PERSON,others,COMMON,0.0015184458,2,"others, others"
PERSON,women,COMMON,0.0014492682,1,women
PERSON,women,COMMON,0.0014044354,1,women
PERSON,people,COMMON,0.0013475972,1,people
PERSON,men,COMMON,0.0013324649,2,"men, men"
WORK_OF_ART,images,COMMON,0.0013262982,2,"images, images"
OTHER,reason,COMMON,0.0012046191,1,reason
PERSON,men,COMMON,0.0010886448,1,men
PERSON,women,COMMON,0.0010779934,1,women
PERSON,people,COMMON,0.0010574586,2,"people, people"
OTHER,Latin,PROPER,0.0010362194,10,"Latin, Latin, Latin, Latin, Latin, Latin, Latin, Latin, Latin, Latin"
PERSON,people,COMMON,0.0010315742,2,"people, people"
PERSON,women,COMMON,0.0010101829,1,women
OTHER,study,COMMON,0.0009971401,3,"study, study, study"
OTHER,RU486,PROPER,0.00096928724,6,"RU486, RU486, dose, hormone, RU486, RU486"
PERSON,women,COMMON,0.00096574024,1,women
OTHER,ideas,COMMON,0.0009634657,1,ideas
PERSON,father,COMMON,0.0009288352,2,"father, father"
OTHER,discrimination,COMMON,0.0009146706,2,"discrimination, discrimination"
OTHER,custody,COMMON,0.0008889992,2,"custody, custody"
PERSON,women,COMMON,0.0008835673,1,women
OTHER,more,COMMON,0.0008715401,1,more
OTHER,harassment,COMMON,0.00087035325,2,"harassment, harassment"
ORGANIZATION,DES,PROPER,0.0008454583,3,"DES, DES, DES"
OTHER,access,COMMON,0.0008445945,1,access
PERSON,women,COMMON,0.0008397179,1,women
PERSON,women,COMMON,0.0008368776,1,women
OTHER,framework,COMMON,0.0008328524,3,"framework, framework, framework"
PERSON,men,COMMON,0.0008213613,1,men
PERSON,men,COMMON,0.0008207998,1,men
PERSON,men,COMMON,0.00082026824,1,men
PERSON,women,COMMON,0.0008057289,1,women
PERSON,people,COMMON,0.0008015086,2,"people, people"
OTHER,differences,COMMON,0.0008004945,1,differences
PERSON,women,COMMON,0.0007919218,1,women
OTHER,lives,COMMON,0.00077638053,2,"lives, lives"
