type,text,proper_or_common,salience,num_mentions,mentions
OTHER,morning edition,COMMON,0.72542834,7,"baseball, poem, bass, being, success, morning edition, mac"
OTHER,way,COMMON,0.08111822,1,way
LOCATION,state,COMMON,0.020047376,1,state
OTHER,nikos bed,COMMON,0.017905114,3,"name, nikos bed, law"
PERSON,speaker,COMMON,0.013710431,1,speaker
PERSON,bing crosby,PROPER,0.013315419,1,bing crosby
PERSON,ms,COMMON,0.011280808,1,ms
LOCATION,beach,COMMON,0.009429237,1,beach
PERSON,half,COMMON,0.009112619,1,half
PERSON,brahms,COMMON,0.007855571,1,brahms
OTHER,b,COMMON,0.007855571,1,b
OTHER,bob,COMMON,0.007855571,1,bob
OTHER,baseball,COMMON,0.007260844,1,baseball
OTHER,ms,COMMON,0.0056206477,1,ms
OTHER,beans,COMMON,0.003727664,1,beans
OTHER,beans,COMMON,0.003727664,1,beans
OTHER,ms,COMMON,0.003444297,1,ms
OTHER,bell,COMMON,0.003401086,1,bell
OTHER,way,COMMON,0.0033468693,2,"way, job"
LOCATION,bar,COMMON,0.0031655699,1,bar
PERSON,piano player,COMMON,0.0029885946,1,piano player
OTHER,pay,COMMON,0.0024258175,1,pay
OTHER,problem,COMMON,0.0024258175,1,problem
WORK_OF_ART,pics,COMMON,0.0024258175,1,pics
OTHER,beans,COMMON,0.0023387177,1,beans
OTHER,purpose,COMMON,0.0023095573,1,purpose
OTHER,polls,COMMON,0.0022966077,1,polls
OTHER,burns,COMMON,0.002253527,1,burns
LOCATION,plant,COMMON,0.0020426363,1,plant
ORGANIZATION,panel,COMMON,0.0020426363,1,panel
ORGANIZATION,band,COMMON,0.0020176983,1,band
OTHER,press,COMMON,0.0020176983,1,press
PERSON,baby,COMMON,0.0015209311,1,baby
OTHER,briar,COMMON,0.0010687587,1,briar
ORGANIZATION,fbi,PROPER,0.0010464496,1,fbi
OTHER,ms,COMMON,0.0010121015,1,ms
OTHER,data,COMMON,0.0008996731,1,data
OTHER,bell,COMMON,0.0007718182,1,bell
ORGANIZATION,court,COMMON,0.00074804854,1,court
PERSON,leaks,COMMON,0.00072986283,1,leaks
OTHER,ms,COMMON,0.00070837646,1,ms
OTHER,path,COMMON,0.00067791314,1,path
ORGANIZATION,census bureau,COMMON,0.0006068331,1,census bureau
OTHER,fbi,COMMON,0.0005922367,1,fbi
OTHER,consideration abortion,COMMON,0.00057061395,1,consideration abortion
PERSON,boy,COMMON,0.00047441066,1,boy
PERSON,babb,COMMON,0.00047441066,1,babb
PERSON,bb,COMMON,0.00047441066,1,bb
OTHER,polls,COMMON,0.0004171018,1,polls
OTHER,peak,COMMON,0.00035742208,1,peak
OTHER,part,COMMON,0.00035742208,1,part
PERSON,boy,COMMON,0.00029714746,1,boy
