text,type
America's,location
American,location
Balkan,location
Bloomington,location
New York,location
Pacific Rim,location
United States,location
US,location
West Coast,location
Western Europe,location
Patten lecture,IU_EVENT
the 17th annual spring symposium,event
Alexander Astin,person
ALEXANDER ASTIN,person
Allan Murray Carter Professor of Higher Education,person
American,person
Daniel Goleman,person
Debbie Fein,person
de Tocqueville,person
Dick,person
Dick McKaig,IU_PERSON
DICK MCKAIG,IU_PERSON
Dr. Astin,person
GROS LOUIS,IU_PERSON
Jacobs,person
John Dewey,person
Lord Jesus Christ,person
Professor Astin,person
Professor Ken Gros Louis,IU_PERSON
Robert Maynard Hutchins,person
Sandy,person
Suzanne,person
William Patten,person
ACT,organization
American Council of Education,organization
Change magazine,organization
Department of English,organization
Gettysburg College,organization
Harvard,organization
Higher Education Research Institute,organization
Indiana University,IU_ORGANIZATION
Madison College,organization
National Merit Scholarship Corporation,organization
Office of Academic Affairs,organization
Office of Afro-American,IU_ORGANIZATION
Office of the Vice Chancellor for Academic Affairs,organization
Office of the Vice Chancellor for Student Affairs,organization
Patten Foundation,IU_ORGANIZATION
SAT,organization
School of Education,IU_ORGANIZATION
UCLA,organization
University Club,organization
University of Maryland,organization
academia,concept
academic freedom,concept
academic institutions,concept
academics,concept
admissions policies,concept
affirmative action,concept
Christian,concept
civic responsibility,concept
college graduates,concept
competitiveness argument,concept
education,concept
educational policy,concept
Four Critical Years,concept
Four Critical Years Revisited,concept
GPA,concept
health care,concept
higher education,concept
leadership,concept
measures of success,concept
medical health care system,concept
peg board view,concept
professors,concept
racial problems,concept
research,concept
research university,concept
standardized test score,concept
students,concept
student success,concept
teaching,concept
tenure,concept
They Went to College,concept
Titanic,concept
tutoring,concept
underprepared students,concept
university,concept
