text,type
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
Abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion,concept
abortion rights,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AIDS,concept
AL721,concept
anti-abortion movement,concept
AZT,concept
AZT,concept
AZT,concept
birth control,concept
cervix,concept
chlamydia,concept
civil disobedience,concept
Contagious Diseases Act,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraception,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
contraceptive,concept
Cultural discrimination,concept
Dalkon Shield,concept
Depo-Provera,concept
Depo-Provera,concept
discrimination,concept
discrimination,concept
discrimination,concept
discrimination,concept
discrimination,concept
discrimination,concept
discrimination,concept
discrimination,concept
discrimination,concept
discriminatory practices,concept
disease,concept
disease,concept
disease,concept
disease,concept
disease,concept
disease,concept
disease,concept
doctors,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug,concept
drug companies,concept
drug company,concept
drugs,concept
drugs,concept
drugs,concept
drugs,concept
drugs,concept
drugs,concept
feminist,concept
feminist,concept
feminist,concept
feminist,concept
feminist,concept
feminist,concept
feminist,concept
feminist,concept
feminist,concept
feminist clinics,concept
feminist clinics,concept
feminist health,concept
feminist health,concept
feminist health,concept
feminist health,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
feminist health movement,concept
Gonorrhea,concept
health care,concept
HIV,concept
HIV,concept
homophobia,concept
homophobia,concept
Hyde Amendment,concept
Hysterectomies,concept
IUD,concept
IUD,concept
IUD,concept
IUD,concept
IUD,concept
IUD,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
lesbian,concept
Medicaid,concept
Medicaid,concept
Medicaid,concept
Medicaid,concept
Medicaid,concept
Medicaid,concept
Medicaid,concept
Medicaid,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical establishment,concept
medical profession,concept
medical profession,concept
medical profession,concept
medical profession,concept
medical profession,concept
morning after pill,concept
Nursing,concept
Operation Rescue,concept
"Our Bodies, Ourselves",concept
"Our Bodies, Ourselves",concept
"pelvic inflammatory disease,",concept
people of color,concept
people of color,concept
pharmaceutical industry,concept
pregnancy,concept
PWA,concept
PWA,concept
PWAs,concept
PWAs,concept
PWAs,concept
PWAs,concept
PWAs,concept
Roe v. Wade,event
Roe v. Wade,event
Roe versus Wade,event
Roe versus Wade,event
RU486,concept
RU486,concept
RU486,concept
RU486,concept
self-examination,concept
sexism,concept
Sexually Transmitted Diseases,concept
STD,concept
STDs,concept
STDs,concept
STDs,concept
STDs,concept
STDs,concept
STDs,concept
STDs,concept
sterilization abuse,concept
Sunday Times Magazine,concept
VD,concept
VD,concept
VD,concept
VD,concept
Witch hunts,concept
women,concept
women,concept
women,concept
women,concept
women,concept
Women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
Women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
Women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
Women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
women,concept
Women,concept
Women,concept
women,concept
women,concept
Women,concept
women,concept
women,concept
women,concept
Women,concept
women,concept
