ibm_type,type,text,relevance,subtypes
entity,Location,Studentssuccess,0.735633,City
entity,Location,United States,0.406629,"Region,AdministrativeDivision,GovernmentalJurisdiction,FilmEditor,Country"
entity,Person,Daniel Goldman,0.384092,
entity,Organization,Higher Education Research,0.376656,
entity,Organization,American society,0.366863,
entity,Person,Khun B,0.353382,
entity,Organization,Research Council Education,0.345934,
entity,Location,Georgia,0.344869,StateOrCounty
entity,Organization,administrators Factory Campus,0.341352,
entity,Organization,Department of English,0.339272,
entity,Location,New York,0.336634,"PoliticalDistrict,GovernmentalJurisdiction,PlaceWithNeighborhoods,WineRegion,FilmScreeningVenue,City"
entity,Person,Bill,0.333641,
entity,Person,Spear,0.330314,
entity,JobTitle,professor of education,0.328183,
entity,Person,Robert Maynard Hutchins,0.326682,
entity,Company,National Merit Scholarship Corporation,0.324854,
entity,Person,Louise,0.323264,
entity,Person,John Dewey,0.321771,Philosopher
entity,Person,Carter,0.316352,
entity,JobTitle,director,0.314878,
entity,Organization,Indiana University,0.312476,
entity,Location,West Coast,0.310223,Region
entity,Person,Toe,0.301901,
entity,Location,America,0.300157,Continent
entity,Person,Sandy,0.290413,
entity,Person,Alex Research,0.288846,
entity,GeographicFeature,Pacific Rim,0.28827,
entity,Person,Berg,0.288019,
entity,Organization,DH,0.286736,
entity,Company,Division One,0.285953,
entity,JobTitle,Of of medicine,0.285334,
entity,JobTitle,principal,0.278956,
entity,JobTitle,Officer Academic Affairs,0.276038,
entity,Location,Western Europe,0.275092,Region
entity,Organization,Office for American Affairs,0.273488,
entity,JobTitle,Vice Chancellor for Student Affairs,0.271543,
entity,Person,Mohr,0.26927,
entity,Person,Dick McCabe,0.269129,
entity,Person,Teo,0.268645,
entity,Location,Bloomington,0.266928,City
entity,JobTitle,chancellor,0.263941,
entity,Quantity,40 years,0.263941,
entity,Quantity,"1,000 degrees",0.263941,
entity,Quantity,100 years,0.263941,
entity,Quantity,20 pounds,0.263941,
entity,Quantity,30 years,0.263941,
entity,Quantity,one hand,0.263941,
entity,Quantity,100%,0.263941,
concept,,Higher education,0.965634,
concept,,Education,0.881337,
concept,,College,0.446046,
concept,,Curriculum,0.398229,
concept,,University,0.365471,
concept,,Educational psychology,0.353488,
concept,,School,0.299327,
concept,,Postgraduate education,0.266447,
concept,,Higher Learning,0.258731,
concept,,The Higher,0.258515,
concept,,Student,0.25671,
concept,,Remedial education,0.250277,
concept,,Madrasah,0.242349,
concept,,Tertiary education,0.24179,
keyword,,much evidence of a core commitment,0.582614,
keyword,,field of fire education,0.567014,
keyword,,kind of student success,0.562267,
keyword,,higher education,0.555282,
keyword,,people others,0.553832,
keyword,,question of beliefs,0.549218,
keyword,,concerned administrators student,0.548823,
keyword,,much headway,0.538761,
keyword,,public school system,0.538466,
keyword,,better understanding needs of factory,0.53339,
keyword,,students,0.532369,
keyword,,uses students,0.53085,
keyword,,research results,0.52919,
keyword,,conception of students success,0.528051,
keyword,,students success means,0.526267,
keyword,,extraordinary collection of data of value,0.525948,
keyword,,educational policies,0.525606,
keyword,,quality of civic life,0.524933,
keyword,,much contact,0.524197,
keyword,,number of other related issues,0.52241,
keyword,,research program,0.522149,
keyword,,issue of success,0.521834,
keyword,,higher education literature,0.521543,
keyword,,Traditional academic measures,0.521405,
keyword,,greater numbers of underprepared students,0.52011,
keyword,,educational institutions,0.519836,
keyword,,different people,0.519815,
keyword,,college species diversity,0.519563,
keyword,,success path,0.519547,
keyword,,discussions of educational policy,0.51953,
keyword,,Former record of service,0.518988,
keyword,,high level,0.51889,
keyword,,conception of student success,0.518812,
keyword,,societal problems,0.518658,
keyword,,higher education system,0.518401,
keyword,,terms of such things,0.518344,
keyword,,mission statements,0.518075,
keyword,,definer excellence,0.517893,
keyword,,larger society,0.51777,
keyword,,smartest students,0.51719,
keyword,,part of the problem,0.517104,
keyword,,sort of my current preoccupation,0.517078,
keyword,,little sense,0.517012,
keyword,,social problems,0.516847,
keyword,,civic engagement,0.516551,
keyword,,director of Research Council Education move,0.516437,
keyword,,view of the role,0.516307,
keyword,,terms of the time,0.51592,
keyword,,different views,0.515582,
keyword,,difficult challenge,0.515398,
keyword,,individual economic benefits,0.515209,
keyword,,terms of the test scores of the entering students,0.515054,
keyword,,important faculty talents,0.514883,
keyword,,great point average,0.514865,
keyword,,service learning,0.514449,
keyword,,higher education community,0.51437,
keyword,,small number of hard core,0.514275,
keyword,,United States,0.513636,
keyword,,economic disparities,0.513131,
keyword,,important social Trans,0.51296,
keyword,,health care,0.512815,
keyword,,Campus level,0.512587,
keyword,,little need,0.512548,
keyword,,campus today,0.512449,
keyword,,student success,0.512431,
keyword,,push others,0.512428,
keyword,,measures of success,0.512138,
keyword,,Tuesday night,0.512086,
keyword,,lot of books,0.512003,
keyword,,good colleague ship,0.511921,
keyword,,educational opportunities,0.511685,
keyword,,long list,0.511446,
keyword,,general education content,0.511444,
keyword,,minimal kind,0.511297,
keyword,,couple of meetings,0.510885,
keyword,,critical years,0.510772,
keyword,,institution,0.510748,
keyword,,competitiveness argument,0.510558,
keyword,,private economic benefit view,0.510419,
keyword,,sense of the g p A,0.510352,
keyword,,alternative belief system,0.510296,
keyword,,university fingers business directorship,0.51028,
keyword,,issue of students,0.51019,
keyword,,graduate students,0.509925,
keyword,,honors of various kinds,0.509911,
keyword,,test scores,0.50967,
keyword,,problems,0.509572,
keyword,,student learning,0.509558,
keyword,,Matters College,0.509519,
keyword,,students successor,0.509479,
keyword,,scope of his research,0.509465,
keyword,,professor of education,0.509316,
keyword,,recent years,0.509202,
keyword,,prison inmates,0.509173,
keyword,,mention of private economic benefits,0.509158,
keyword,,narrow definition of students,0.509117,
keyword,,competitive competitiveness views,0.5091,
keyword,,central focus,0.509073,
keyword,,racial tensions,0.509065,
keyword,,collaborative effort,0.50902,
keyword,,increasing effect excuse,0.508685,
keyword,,major today,0.508511,
keyword,,best talent,0.508408,
keyword,,main problem,0.508341,
keyword,,center's research service awards,0.508307,
keyword,,hard time,0.50826,
keyword,,purpose of a liberal education,0.508237,
keyword,,part time tutors,0.508149,
keyword,,Higher Education Research,0.508142,
keyword,,possible causes,0.508078,
keyword,,American diversity,0.508029,
keyword,,inner cities,0.508024,
keyword,,effective democratic self government,0.507859,
keyword,,real threat,0.507834,
keyword,,keynote address,0.507665,
keyword,,part of the institution,0.507618,
keyword,,higher education institutions,0.50761,
keyword,,community relations,0.507603,
keyword,,remedial students,0.507576,
keyword,,responsible citizenship,0.507571,
keyword,,pegboard view,0.507556,
keyword,,faculty discussions of curricular reform,0.50753,
keyword,,academic community,0.507483,
keyword,,close cousin of the pegboard view,0.507462,
keyword,,such pure tutoring,0.507435,
keyword,,labor market,0.507412,
keyword,,view,0.507383,
keyword,,New York,0.507325,
keyword,,early success,0.507108,
keyword,,admissions process,0.506977,
keyword,,academic elitist,0.506959,
keyword,,peer group,0.506887,
keyword,,individual scholarly accomplishments of our students,0.506881,
keyword,,better facilities,0.506847,
keyword,,magnet school education,0.50681,
keyword,,local levels,0.5068,
keyword,,belief systems,0.506643,
keyword,,dominant belief system,0.506608,
keyword,,collegiate level,0.506525,
keyword,,institutional terms,0.506408,
keyword,,competitive disadvantage,0.506401,
keyword,,Toe advocate,0.506393,
keyword,,couple of announcements,0.506369,
keyword,,educational mission,0.506343,
keyword,,direct conflict,0.506284,
keyword,,experience results,0.506259,
keyword,,powerful influence,0.506258,
