ibm_type,type,text,relevance,subtypes
entity,Person,Alexander Astin,0.931271,
entity,JobTitle,Allan Murray Carter Professor of Higher Education and Director,0.60872,
entity,Organization,Higher Education Research Institute,0.533298,
entity,Location,Bloomington,0.527169,City
entity,Location,United States,0.52537,"Region,AdministrativeDivision,GovernmentalJurisdiction,FilmEditor,Country"
entity,Person,William Patten,0.48764,
entity,Organization,American society,0.48562,
entity,Organization,School of Education,0.479547,
entity,Organization,American Council of education,0.478094,
entity,JobTitle,Professor,0.461288,
entity,Organization,Gettysburg College,0.460431,"Location,CollegeUniversity,PeriodicalPublisher,University"
entity,Organization,Madison College,0.458756,"CollegeUniversity,University"
entity,Person,Sandy,0.449305,
entity,Organization,American university,0.448612,"CollegeUniversity,University"
entity,Person,Dick McKay,0.439711,
entity,Organization,University of Maryland,0.437197,"AwardWinner,CollegeUniversity,University"
entity,PrintMedia,Change magazine,0.434537,
entity,Location,New York,0.433819,"PoliticalDistrict,GovernmentalJurisdiction,PlaceWithNeighborhoods,WineRegion,FilmScreeningVenue,City"
entity,Company,National Merit Scholarship Corporation,0.43132,
entity,Person,Robert Maynard Hutchins,0.42703,
entity,Organization,UCLA,0.426911,"SportsTeam,Location,CollegeUniversity,University"
entity,Person,John Dewey,0.420476,Philosopher
entity,Organization,Patten Foundation,0.419176,
entity,Person,Daniel Goleman,0.417867,
entity,PrintMedia,Four Critical Years Revisited,0.414993,
entity,Organization,Indiana University,0.406466,
entity,JobTitle,chancellor,0.402988,
entity,JobTitle,Director of Research,0.399644,
entity,Organization,Department of English,0.399472,
entity,GeographicFeature,West Coast,0.398664,
entity,Location,America,0.391664,Continent
entity,Person,de Tocqueville,0.389116,Philosopher
entity,JobTitle,Vice Chancellor for Student Affairs,0.385798,
entity,Facility,Patten Lecture,0.375768,
entity,Location,Western Europe,0.374916,Region
entity,JobTitle,principal,0.363631,
entity,JobTitle,Vice Chancellor for Academic Affairs,0.36342,
entity,GeographicFeature,Pacific Rim,0.359103,
entity,Person,Suzanne,0.346238,
entity,Person,Debbie Fein,0.336443,
entity,Organization,Office of Academic Affairs.,0.327258,
entity,Organization,Office of Afro-American,0.319997,
entity,Quantity,four years,0.319997,
entity,Quantity,100 years,0.319997,
entity,Quantity,30 years,0.319997,
entity,Quantity,40 years,0.319997,
entity,Quantity,one hand,0.319997,
entity,Quantity,100%,0.319997,
concept,,Higher education,0.983148,
concept,,Education,0.847898,
concept,,College,0.414518,
concept,,Educational psychology,0.372995,
concept,,University,0.370883,
concept,,Curriculum,0.368147,
concept,,Student,0.320689,
concept,,Higher Learning,0.258697,
concept,,The Higher,0.258526,
concept,,School,0.249762,
concept,,Student Affairs,0.244944,
concept,,Tertiary education,0.242958,
keyword,,field of higher education,0.584898,
keyword,,much evidence of a core commitment,0.58064,
keyword,,kind of student success,0.574844,
keyword,,question of beliefs,0.563583,
keyword,,students of higher education,0.54844,
keyword,,list of problems,0.544537,
keyword,,public school system,0.543503,
keyword,,number of other related issues,0.54185,
keyword,,student success,0.538794,
keyword,,much headway,0.537701,
keyword,,students,0.535293,
keyword,,view of the role,0.532613,
keyword,,dynamics of the American university form,0.532432,
keyword,,research results,0.532175,
keyword,,student affairs professionals,0.530772,
keyword,,academic program,0.527277,
keyword,,record of service,0.526726,
keyword,,American higher education,0.526609,
keyword,,Gettysburg College,0.526588,
keyword,,terms of the time,0.526425,
keyword,,quality of civic life,0.526181,
keyword,,research program,0.525272,
keyword,,different people,0.524677,
keyword,,minimal kind of success,0.523657,
keyword,,much contact,0.52333,
keyword,,student success means,0.522875,
keyword,,conception of student success,0.522468,
keyword,,good colleague-ship,0.522222,
keyword,,different views,0.521879,
keyword,,educational policies,0.521781,
keyword,,issue of success,0.521474,
keyword,,little sense,0.521409,
keyword,,student peer groups,0.521067,
keyword,,Critical Years,0.520682,
keyword,,societal problems,0.51995,
keyword,,important social trends,0.519378,
keyword,,terms of such things,0.519143,
keyword,,higher education system,0.518943,
keyword,,use of these narrow conceptions of student talent,0.51845,
keyword,,mission statements,0.518269,
keyword,,educational institutions,0.518209,
keyword,,civic engagement,0.517896,
keyword,,discussions of educational policy,0.517893,
keyword,,push others,0.517777,
keyword,,student,0.517668,
keyword,,factors effect student development,0.517638,
keyword,,social problems,0.517466,
keyword,,kind of graduate school,0.517332,
