ibm_type,type,text,relevance,subtypes
entity,Quantity,eighty eight day,0.01,
entity,Quantity,five years,0.01,
entity,Quantity,six feet,0.01,
entity,Quantity,ten year,0.01,
concept,,Education,0.9734,
concept,,Higher education,0.849557,
concept,,University,0.462623,
concept,,Curriculum,0.396544,
concept,,College,0.371282,
concept,,The Higher,0.320054,
concept,,Student,0.318437,
concept,,James Brown,0.311311,
keyword,,minimal kind of bomb success,0.661057,
keyword,,blind student success,0.657863,
keyword,,day of the battle,0.626536,
keyword,,degree program,0.62579,
keyword,,good news,0.625059,
keyword,,various kinds,0.623479,
keyword,,high level,0.621085,
keyword,,laws bankruptcy today,0.616487,
keyword,,management thing,0.585906,
keyword,,b dollars bow,0.584325,
keyword,,terms of the time,0.57889,
keyword,,honored grade point,0.567809,
keyword,,terms,0.556427,
keyword,,day of the others,0.551342,
keyword,,nice work,0.547517,
keyword,,kind of graduate school,0.532326,
keyword,,college,0.531287,
keyword,,bill,0.520977,
keyword,,boy,0.520902,
keyword,,party,0.520473,
keyword,,yoda,0.520118,
keyword,,beer,0.519755,
keyword,,honoree,0.519708,
keyword,,pope,0.519487,
keyword,,backyard,0.519378,
keyword,,courses,0.51913,
keyword,,light,0.517827,
keyword,,school war,0.517358,
keyword,,honors,0.516359,
keyword,,success,0.514884,
keyword,,entry,0.512974,
keyword,,terms of the things,0.511091,
keyword,,job,0.50369,
keyword,,look,0.43839,
