ibm_type,type,text,relevance,subtypes
entity,JobTitle,president,0.759659,
entity,Person,Chancellor Carter,0.575771,
entity,Person,Keith Parker,0.517101,
entity,Person,President Sutton,0.488588,
entity,Location,Indiana,0.443098,"PoliticalDistrict,AdministrativeDivision,GovernmentalJurisdiction,USState,StateOrCounty"
entity,JobTitle,faculty member,0.415384,
entity,Location,Bloomington,0.374683,City
entity,Location,Thailand,0.364679,"GovernmentalJurisdiction,Kingdom,Country"
entity,Person,Mike,0.352866,
entity,Organization,Faculty Council,0.352197,
entity,Organization,Indiana University,0.347466,
entity,Organization,Indiana University,0.337696,"Location,Company,AcademicInstitution,PeriodicalPublisher,CollegeUniversity,University"
entity,JobTitle,chancellor,0.336112,
entity,Location,Vietnam,0.331782,Country
entity,JobTitle,professor,0.33033,
entity,Location,Evansville,0.305565,City
entity,Organization,College of Arts and Sciences,0.296636,"Location,CollegeUniversity,University"
entity,Facility,Brian Hall,0.295416,
entity,Organization,Bloomington Faculty Council,0.293151,
entity,Person,Michael,0.283726,
entity,Person,Harry Hess,0.283492,"MusicalArtist,RecordProducer"
entity,Organization,ROTC,0.282165,"Location,Country,GovernmentalJurisdiction,BoardMember"
entity,Organization,College of Arts and Sciences Policy Committee,0.273873,
entity,Person,President Nixon,0.273669,"FilmCharacter,MusicalArtist,Politician,President,Appointer,MilitaryCommander,MilitaryPerson,PoliticalAppointer,TVPersonality,U.S.Congressperson,USPresident,USVicePresident,FilmActor,TVActor"
entity,Organization,Arts Arts and Sciences college,0.261687,
entity,Organization,student government defense Fund,0.260169,
entity,JobTitle,Professor of Law,0.259767,
entity,Location,Southeast Asia,0.259348,Region
entity,Organization,Brian administration,0.258829,
entity,Person,Bond,0.255628,
entity,Person,Dale pry,0.255621,
entity,Person,Waller,0.254982,
entity,Person,Wei,0.254845,
entity,Organization,University of Minnesota,0.250827,"Location,CollegeUniversity,University"
entity,Location,Cambodia,0.249452,"GovernmentalJurisdiction,Country"
entity,Person,Dean Harvey,0.248295,
entity,Organization,Division of Arts and Sciences,0.247259,
entity,Location,Michigan,0.247156,"PoliticalDistrict,AdministrativeDivision,GovernmentalJurisdiction,USState,StateOrCounty"
entity,JobTitle,Chancellor,0.247074,
entity,Person,Bobby Seale,0.245595,FilmActor
entity,Person,Paul Dobbs,0.243829,
entity,Person,President Sultan,0.242554,
entity,Person,Um,0.242144,
entity,Person,Chancellor Kaga,0.24024,
entity,Facility,Rolls halls,0.239853,
entity,Company,Ballantine,0.239772,
entity,Organization,Bobby Seale Defense Fund,0.237001,
entity,Person,Chuck Turner,0.236301,Politician
entity,Organization,Ford Foundation,0.236108,Non-ProfitOrganisation
entity,PrintMedia,Evansville Press,0.233404,
entity,Organization,National Institute of Development Administration,0.232641,"Location,CollegeUniversity,University"
entity,Person,Mr Prouder,0.23035,
entity,Person,Dean Merit,0.229005,
entity,Person,Diane,0.227664,
entity,Organization,students Law school,0.226293,
entity,Person,Tom,0.224252,
entity,Location,Washington,0.222301,"AdministrativeDivision,GovernmentalJurisdiction,MilitaryPost,PlaceWithNeighborhoods,USCounty,City"
entity,Location,United States,0.221525,"Region,AdministrativeDivision,GovernmentalJurisdiction,FilmEditor,Country"
entity,Organization,University of Wisconsin,0.221512,"Location,GovernmentAgency,AcademicInstitution,CollegeUniversity"
entity,Person,Janet Number,0.220254,
entity,Person,Teo,0.219971,
entity,Crime,assault,0.218448,
entity,Person,Marty,0.218388,
entity,Organization,United States Army,0.217627,"ArmedForce,VideoGameDeveloper,VideoGamePublisher"
entity,Person,Brown,0.216977,
entity,Facility,Mayor Hooker,0.215625,
entity,Person,Satin,0.215589,
entity,Person,Professor Julius Getman,0.215099,
entity,JobTitle,instructor,0.214897,
entity,Person,Brian,0.21357,
entity,Person,Hudson,0.213023,
entity,Person,Professor George Juergens,0.212747,
entity,Organization,Black Panthers,0.212488,PoliticalParty
entity,Person,Tom Shortlist,0.211992,
entity,Organization,University Council Committee,0.210569,
entity,Organization,Air Force,0.210543,
entity,Organization,Michigan State University,0.21049,"Location,AwardPresentingOrganization,CollegeUniversity,University"
entity,Person,Mark,0.208977,
entity,Person,Ana,0.208156,
entity,Person,Rick,0.207144,
entity,JobTitle,reporter,0.206558,
entity,Crime,arson,0.206197,
entity,Organization,English Department,0.205453,
entity,JobTitle,special adviser,0.20429,
entity,Person,Mr. Braddock,0.20425,
entity,Person,Mike speak,0.203789,
entity,Person,Professor Edwards,0.203619,
entity,Person,Mister Mister,0.202437,
entity,Person,William Curly,0.201503,
entity,Person,nickels,0.199218,
entity,Organization,Veterans of Peace,0.198483,
entity,Person,Dawn,0.196929,
entity,Person,Mike Jones,0.196524,"MusicalArtist,BroadcastArtist,FilmEditor,FilmProducer,MusicalGroupMember,FilmActor,FilmWriter,TVActor"
entity,Organization,Yale,0.195917,
entity,Person,Chris Logan,0.195586,
entity,Crime,political repression,0.193863,
entity,Person,Steve Emery,0.191625,"Athlete,FootballPlayer"
entity,Company,Payless,0.187597,
entity,Person,John,0.180963,
entity,Person,Tom shorn Horst,0.178236,
entity,Person,Mr Boyle,0.177992,
entity,Person,Roger Knolton,0.17207,
entity,Person,Susan Young,0.172066,
entity,Person,Gregor,0.17147,
entity,Person,Peter Linton,0.165613,
entity,Person,Shelly Geller,0.156136,
entity,Quantity,$50,0.156136,
entity,Quantity,three years,0.156136,
entity,Quantity,$500,0.156136,
entity,Quantity,three weeks,0.156136,
entity,Quantity,"$3,000,000",0.156136,
entity,Quantity,10 seconds,0.156136,
entity,Quantity,one second,0.156136,
entity,Quantity,four foot,0.156136,
entity,Quantity,10 years,0.156136,
entity,Quantity,12 years,0.156136,
entity,Quantity,20 years,0.156136,
entity,Quantity,$446.80,0.156136,
entity,Quantity,10 days,0.156136,
entity,Quantity,$400,0.156136,
entity,Quantity,70%,0.156136,
concept,,2008 singles,0.979242,
concept,,2001 singles,0.828693,
concept,,University,0.750908,
concept,,2007 singles,0.66378,
