ibm_type,type,text,relevance,subtypes
entity,Person,President Sutton,0.918468,
entity,Person,Chancellor Carter,0.787478,
entity,Person,Dale Pryweller,0.729007,
entity,Person,Keith Parker,0.648743,
entity,Person,HARRY PRATTER,0.638466,
entity,JobTitle,president,0.566467,
entity,JobTitle,REPORTER,0.431095,
entity,Location,Bloomington,0.382784,City
entity,Location,Indiana,0.3798,"PoliticalDistrict,AdministrativeDivision,GovernmentalJurisdiction,USState,StateOrCounty"
entity,PrintMedia,Arts and Science,0.373808,
entity,Person,Chuck CHUCK TURNER,0.354335,Politician
entity,Facility,Bryan Hall,0.340894,"Location,Building"
entity,Organization,College of Arts and Sciences,0.331973,"Location,CollegeUniversity,University"
entity,Organization,Arts and Sciences College,0.323054,
entity,Organization,College of Arts and Sciences Policy Committee,0.315078,
entity,JobTitle,chancellor,0.312224,
entity,Person,President Nixon,0.311203,"FilmCharacter,MusicalArtist,Politician,President,Appointer,MilitaryCommander,MilitaryPerson,PoliticalAppointer,TVPersonality,U.S.Congressperson,USPresident,USVicePresident,FilmActor,TVActor"
entity,Organization,Indiana University,0.297469,"Location,Company,AcademicInstitution,PeriodicalPublisher,CollegeUniversity,University"
entity,Person,BYRUM CARTER,0.290005,
entity,Organization,Division of Arts and Sciences,0.289894,
entity,Location,Cambodia,0.282318,"GovernmentalJurisdiction,Country"
entity,JobTitle,faculty member,0.280931,
entity,Organization,Indiana University,0.27972,
entity,Company,Ballantine,0.276879,
entity,JobTitle,professor,0.276749,
entity,Organization,Bloomington faculty council,0.276148,
entity,Location,Vietnam,0.268723,Country
entity,Person,Mike King,0.268447,
entity,Facility,Bryan Administration Building,0.264753,
entity,Organization,Defense Fund,0.259555,
entity,Organization,Student Government Defense Fund,0.258078,
entity,Location,Evansville,0.253995,City
entity,JobTitle,Professor of Law,0.253426,
entity,Facility,Dunn meadows,0.252823,
entity,Person,Tom,0.250898,
entity,Organization,ROTC,0.249925,"Location,Country,GovernmentalJurisdiction,BoardMember"
entity,JobTitle,Vice President of,0.246503,
entity,Location,Southeast Asia,0.246166,Region
entity,Location,Michigan City,0.243641,City
entity,PrintMedia,Evansville Courier,0.243215,Newspaper
entity,Facility,Rawles Halls,0.241306,
entity,Person,Bobby Seale,0.235651,FilmActor
entity,Organization,Bobby Seale Defense Fund,0.233781,
entity,Person,Mike Jones,0.23345,"MusicalArtist,BroadcastArtist,FilmEditor,FilmProducer,MusicalGroupMember,FilmActor,FilmWriter,TVActor"
entity,Person,Shornhorse.,0.229045,
entity,Organization,IU Foundation,0.229015,
entity,Facility,Evansville press,0.226418,
entity,Person,Dean Merritt,0.225281,
entity,Organization,Veterans for Peace,0.224967,
entity,Facility,Evansville Courier,0.224869,
entity,Person,Mike,0.224787,
entity,Location,Washington,0.223414,"AdministrativeDivision,GovernmentalJurisdiction,MilitaryPost,PlaceWithNeighborhoods,USCounty,City"
entity,PrintMedia,Evansville press,0.22217,
entity,Location,Thailand,0.219912,"GovernmentalJurisdiction,Kingdom,Country"
entity,Person,Ike,0.217816,
entity,Crime,assault,0.213797,
entity,Person,Bryan,0.212214,
entity,JobTitle,Chairman,0.21109,
entity,Person,Herman Hudson,0.209772,
entity,JobTitle,instructor,0.209136,
entity,Person,Hooker,0.209121,
entity,Person,William Curley,0.208049,
entity,Organization,Air Force,0.203117,
entity,Person,Shelley,0.202059,
entity,Person,Chris,0.201761,
entity,Person,Mike speak,0.201604,
entity,Organization,Black Panthers,0.200585,PoliticalParty
entity,JobTitle,special advisor,0.200089,
entity,Person,Professor Edward Sherman,0.199984,Academic
entity,Person,Lohman,0.198635,
entity,Person,Dean Harvey,0.191094,
entity,Person,Professor Stan,0.189687,
entity,Person,Geller,0.18825,
entity,Person,John Cowles,0.188128,
entity,Person,Paul Dobbs,0.187926,
entity,Person,Steve Emery,0.187871,"Athlete,FootballPlayer"
entity,Person,Michael,0.187621,
entity,JobTitle,Attorney,0.184482,
entity,Crime,political repression,0.181372,
entity,Person,Professor Julius,0.179507,
entity,Person,Professor George,0.179071,
entity,Person,Roger,0.177276,
entity,Person,Mr. Boyle,0.168805,
entity,Person,Peter Lintenbaum,0.168545,
entity,Person,Susan Young,0.167961,
entity,Person,Gregory Hess,0.167896,
entity,Quantity,$50,0.167896,
entity,Quantity,$500,0.167896,
entity,Quantity,three quarters,0.167896,
entity,Quantity,$400,0.167896,
entity,Quantity,three weeks,0.167896,
entity,Quantity,three years,0.167896,
entity,Quantity,10 seconds,0.167896,
entity,Quantity,four days,0.167896,
entity,Quantity,four foot,0.167896,
entity,Quantity,12 years,0.167896,
entity,Quantity,$446.18,0.167896,
entity,Quantity,10 days,0.167896,
concept,,2008 singles,0.98761,
concept,,2002 albums,0.764899,
concept,,University,0.717416,
concept,,2001 singles,0.664072,
concept,,Vice President of the United States,0.660752,
concept,,1989 albums,0.608652,
concept,,2007 singles,0.594075,
keyword,,Dale Pryweller,0.588045,
keyword,,President Sutton,0.585905,
keyword,,Professor of Law Harry Pratter,0.574927,
keyword,,student body president Keith Parker,0.571429,
keyword,,Chancellor Carter,0.56417,
keyword,,Mr. Pryweller,0.562879,
keyword,,Chuck Turner,0.559848,
keyword,,JOSEPH SUTTON,0.55476,
keyword,,BYRUM CARTER,0.545929,
keyword,,whole thing,0.536197,
keyword,,entire academic community of Indiana University,0.53391,
keyword,,HARRY PRATTER,0.533216,
keyword,,rights of others,0.53223,
keyword,,take exams,0.529097,
keyword,,books of the IU Foundation,0.527793,
keyword,,No. JOSEPH SUTTON,0.527218,
keyword,,people of different views,0.526613,
keyword,,time limit,0.526227,
keyword,,students,0.525344,
keyword,,faculty members,0.524638,
keyword,,KEITH PARKER,0.524073,
keyword,,student government demands,0.52356,
keyword,,Student Government Defense Fund,0.522779,
keyword,,blunt truth of the matter,0.521838,
keyword,,College of Arts,0.521653,
keyword,,student leaders,0.521574,
keyword,,much time,0.521005,
keyword,,significant number of people,0.520548,
