ibm_type,type,text,relevance,subtypes
entity,Person,harry potter,0.33,
entity,Facility,brian hall,0.33,
entity,JobTitle,professor of law,0.33,
entity,Quantity,fifty dollars,0.33,
entity,Quantity,three weeks,0.33,
entity,Quantity,three years,0.33,
entity,Quantity,ten years,0.33,
entity,Quantity,two years,0.33,
entity,Quantity,twelve thousand forty percent,0.33,
entity,Quantity,three million dollars,0.33,
entity,Quantity,five hundred dollars,0.33,
entity,Quantity,four hundred dollars,0.33,
entity,Quantity,seventy percent,0.33,
entity,Quantity,three quarters,0.33,
entity,Quantity,twenty minutes,0.33,
entity,Quantity,twenty years,0.33,
entity,Quantity,eight years,0.33,
entity,Quantity,nine months,0.33,
entity,Quantity,ten seconds,0.33,
entity,Quantity,two percent,0.33,
entity,Quantity,six weeks,0.33,
entity,Quantity,two weeks,0.33,
entity,Quantity,ten days,0.33,
concept,,Student,0.937284,
concept,,University,0.936122,
concept,,Human rights,0.9083,
concept,,Rights,0.862401,
concept,,2008 singles,0.735136,
concept,,Education,0.701085,
keyword,,morning demonstrators,0.785901,
keyword,,moderator of the second meeting professor of law,0.771949,
keyword,,picket lines,0.76529,
keyword,,student body,0.660906,
keyword,,campus of brian hall,0.616246,
keyword,,bride administration building,0.600612,
keyword,,open picket lines,0.590152,
keyword,,poor professor of law,0.585917,
keyword,,students,0.57491,
keyword,,access,0.540481,
keyword,,group,0.526588,
keyword,,ballantine,0.523916,
keyword,,classes,0.522332,
keyword,,place,0.521807,
keyword,,name,0.521505,
keyword,,potter,0.521501,
keyword,,podium,0.521477,
keyword,,dave,0.521409,
keyword,,stage,0.521372,
keyword,,coincidence,0.521098,
keyword,,moderator,0.520422,
keyword,,deep divisions,0.520109,
keyword,,day,0.514569,
keyword,,plans,0.511868,
keyword,,instance,0.511174,
keyword,,response,0.510414,
keyword,,meeting,0.472699,
keyword,,morning,0.448761,
keyword,,individual conscience of the end,0.448599,
keyword,,holds,0.434372,
