ibm_type,type,text,relevance,subtypes
entity,HealthCondition,Gonorrhea,0.766279,"DiseaseOrMedicalCondition,DiseaseCause,InfectiousDisease,RiskFactor,Disease"
entity,Person,Carol,0.496385,
entity,Organization,Census Bureau,0.49288,GovernmentAgency
entity,HealthCondition,AIDS,0.486274,"Organization,DiseaseOrMedicalCondition,CauseOfDeath,DiseaseCause,RiskFactor,Disease,OrganizationSector"
entity,Person,Tracy Wait,0.472258,
entity,Organization,iss,0.459506,
entity,Person,Harry,0.459411,
entity,Person,Barry,0.458443,
entity,Person,Hayes Wei,0.456254,
entity,Location,France,0.455782,"Region,AdministrativeDivision,GovernmentalJurisdiction,FilmDirector,Country"
entity,Location,Dallas,0.455608,City
entity,Location,US,0.449322,"Region,AdministrativeDivision,GovernmentalJurisdiction,FilmEditor,Country"
entity,PrintMedia,Sunday Times magazine,0.44356,
entity,Crime,harassment,0.437056,
entity,Person,Sam Energy,0.434692,
entity,Person,Sonny,0.430779,
entity,Location,Paris,0.429039,"AdministrativeDivision,FrenchDepartment,GovernmentalJurisdiction,OlympicBiddingCity,OlympicHostCity,PlaceWithNeighborhoods,City"
entity,Person,Charlie,0.420736,
entity,HealthCondition,inflammatory disease,0.420369,"DiseaseOrMedicalCondition,DiseaseCause,RiskFactor,Symptom"
entity,Person,Jane,0.415923,
entity,HealthCondition,cramps,0.41533,
entity,Person,Terry,0.415216,
entity,JobTitle,president,0.41386,
entity,HealthCondition,Cancer,0.413789,
entity,Person,Vito,0.413587,
entity,Organization,Supreme court,0.410653,
entity,Location,Chicago,0.409482,City
entity,JobTitle,researcher,0.40757,
entity,JobTitle,Scientist,0.407038,
entity,Organization,AIDS,0.405341,
entity,Person,Wass,0.403002,
entity,Organization,Medicaid,0.402592,
entity,Person,Kate,0.399243,
entity,Person,Wass,0.39621,
entity,JobTitle,principal,0.395135,
entity,JobTitle,Official,0.388571,
entity,Person,Cass,0.387989,
entity,Person,Thomas,0.387257,
entity,Person,James,0.386192,
entity,Location,Chicago.,0.385995,City
entity,Person,Lawrence,0.383922,
entity,Organization,Apple Committee,0.382816,
entity,Location,San Undercover,0.380043,City
entity,Person,Flanders,0.377289,
entity,JobTitle,commissioner,0.374205,
entity,HealthCondition,asymptomatic,0.351715,
entity,Location,Minneapolis,0.342195,City
entity,Quantity,three years,0.342195,
entity,Quantity,10 minutes,0.342195,
entity,Quantity,five years,0.342195,
entity,Quantity,three days,0.342195,
entity,Quantity,15 years,0.342195,
entity,Quantity,32 years,0.342195,
entity,Quantity,30 days,0.342195,
entity,Quantity,30 day,0.342195,
entity,Quantity,20%,0.342195,
entity,Quantity,30%,0.342195,
entity,Quantity,60%,0.342195,
entity,Quantity,99%,0.342195,
concept,,Feminism,0.944374,
concept,,2006 albums,0.891867,
concept,,2004 singles,0.857055,
concept,,1988 singles,0.74013,
concept,,Feminist movement,0.68911,
