ibm_type,type,text,relevance,subtypes
entity,HealthCondition,AIDS,0.781632,"Organization,DiseaseOrMedicalCondition,CauseOfDeath,DiseaseCause,RiskFactor,Disease,OrganizationSector"
entity,Location,United States,0.470954,"Region,AdministrativeDivision,GovernmentalJurisdiction,FilmEditor,Country"
entity,Organization,National Women's Health Network,0.367727,
entity,Organization,government,0.35889,"FieldOfStudy,BuildingFunction"
entity,Organization,FDA,0.356081,GovernmentAgency
entity,Organization,Chicago Women's Liberation Union,0.347622,
entity,Organization,Medicaid,0.340114,
entity,Person,Heidi,0.336085,
entity,Person,Judith,0.317723,
entity,Crime,rape,0.294469,
entity,Organization,AIDS,0.294089,
entity,HealthCondition,gonorrhea,0.286041,"DiseaseOrMedicalCondition,DiseaseCause,InfectiousDisease,RiskFactor,Disease"
entity,Company,PWAs,0.284293,
entity,Person,Carol Downer,0.279071,
entity,Person,MARIAN,0.277079,
entity,Person,Jane,0.277057,
entity,Organization,Census Bureau,0.273301,GovernmentAgency
entity,Crime,harassment,0.26581,
entity,Organization,AMA,0.26049,
entity,Location,New York City,0.252348,"PoliticalDistrict,GovernmentalJurisdiction,PlaceWithNeighborhoods,WineRegion,FilmScreeningVenue,City"
entity,HealthCondition,HIV infection,0.248776,"OrganismClassification,DiseaseOrMedicalCondition,CauseOfDeath,InfectiousDisease,RiskFactor,MedicalSpecialty"
entity,Person,Florence Nightingale,0.247675,
entity,HealthCondition,inflammatory disease,0.247524,"DiseaseOrMedicalCondition,DiseaseCause,RiskFactor,Symptom"
entity,HealthCondition,Menopause,0.246279,"DiseaseOrMedicalCondition,DiseaseCause,RiskFactor"
entity,Organization,American College of Obstetrics and Gynecology,0.245465,
entity,PrintMedia,Temporary Male Sterilization,0.244014,
entity,HealthCondition,vaginal cancer,0.244007,"DiseaseOrMedicalCondition,CauseOfDeath,Disease"
entity,Organization,HEW,0.242763,
entity,Organization,Population Council,0.24213,
entity,Location,America,0.23693,Continent
entity,HealthCondition,chlamydia,0.235264,"DiseaseOrMedicalCondition,DiseaseCause,InfectiousDisease,RiskFactor"
entity,Organization,Committee Against Abortion Rights,0.22945,
entity,Location,Tallahassee,0.228596,City
entity,HealthCondition,uterine disease,0.227683,
entity,Location,Europe,0.227008,Continent
entity,JobTitle,researcher,0.226672,
entity,Person,Dr. Lucien Warner,0.226511,
entity,HealthCondition,Sickness,0.226184,
entity,Location,Chicago,0.22496,City
entity,Organization,AH Robins,0.223216,
entity,Organization,CDC,0.222765,
entity,Organization,Supreme Court,0.221193,
entity,Organization,Jane Collective,0.218834,
entity,JobTitle,official,0.217911,
entity,Location,Everett,0.217702,City
entity,Location,England,0.216852,City
entity,Organization,Dalkon Shield,0.215111,
