ibm_type,type,text,relevance,subtypes
entity,Sport,baseball,0.33,
entity,Person,bing crosby,0.33,"MusicalArtist,AwardNominee,AwardWinner,BroadcastArtist,FilmProducer,Golfer,HallOfFameInductee,MusicalGroupMember,FilmActor,TVActor"
entity,Organization,fbi,0.33,"GovernmentAgency,GovernmentalBody"
entity,Person,billy,0.33,
entity,Person,owen,0.33,
entity,Person,bob wills,0.33,MusicalArtist
entity,Person,ms babb,0.33,
entity,Person,ms bauer,0.33,
entity,Person,ms briar,0.33,
concept,,Bing Crosby,0.91655,
concept,,Federal Bureau of Investigation,0.849003,
concept,,Academy Award for Best Actor,0.704707,
concept,,Piano,0.702881,
concept,,United States Census Bureau,0.657439,
concept,,2001 singles,0.63539,
concept,,Law enforcement agency,0.627512,
concept,,J. Edgar Hoover,0.617554,
concept,,American film actors,0.615962,
concept,,Midwestern United States,0.596118,
concept,,Walk This Way,0.593657,
concept,,American Broadcasting Company,0.589344,
keyword,,busy week thanks bob,0.686372,
keyword,,piano player,0.676535,
keyword,,bob wills,0.670248,
keyword,,next bing crosby,0.626527,
keyword,,fb pics,0.60205,
keyword,,ms babb,0.595792,
keyword,,baseball,0.593225,
keyword,,obese being,0.58635,
keyword,,morning edition,0.577104,
keyword,,beans,0.54601,
keyword,,brahms,0.540442,
keyword,,problem,0.527403,
keyword,,beach,0.525867,
keyword,,way,0.525472,
keyword,,poem,0.525171,
keyword,,baek,0.524442,
keyword,,band,0.524362,
keyword,,polls,0.524274,
keyword,,press,0.524007,
keyword,,bell,0.522741,
keyword,,state,0.521705,
keyword,,success,0.521695,
keyword,,plant,0.521149,
keyword,,panel,0.520484,
keyword,,burns,0.515249,
keyword,,baby,0.514537,
keyword,,pay,0.44679,
