text,label,start_char,end_char
today,DATE,30,35
nineteen eighty four,DATE,124,144
the eighty eight day,DATE,145,165
the day,DATE,180,187
a year,DATE,345,351
one,CARDINAL,1154,1157
gpa,ORG,1286,1289
afternoon,TIME,1410,1419
portsmouth,GPE,1747,1757
recent years,DATE,1918,1930
tuesday,DATE,3547,3554
night,TIME,3555,3560
robert maynard hutchins,PERSON,4725,4748
american,NORP,5258,5266
these days,DATE,5653,5663
six,CARDINAL,5784,5787
two,CARDINAL,6973,6976
american,NORP,8851,8859
one,CARDINAL,10024,10027
american,NORP,10413,10421
two,CARDINAL,12018,12021
american,NORP,12160,12168
a week,DATE,12877,12883
american,NORP,13169,13177
mike patton,PERSON,13981,13992
tuesday evening,TIME,14004,14019
tuesday,DATE,15002,15009
night,TIME,15010,15015
one,CARDINAL,16154,16157
american,NORP,17828,17836
second,ORDINAL,18727,18733
two,CARDINAL,19245,19248
american,NORP,19566,19574
republicans,NORP,19879,19890
one,CARDINAL,19928,19931
one,CARDINAL,20321,20324
one,CARDINAL,20464,20467
one,CARDINAL,20543,20546
one,CARDINAL,22106,22109
one,CARDINAL,22716,22719
gpa,ORG,24230,24233
merritt,ORG,26043,26050
american,NORP,26295,26303
three thousand,CARDINAL,26405,26419
two,CARDINAL,28404,28407
rove,PERSON,28899,28903
the day,DATE,29648,29655
the six feet,QUANTITY,30189,30201
earlier today,TIME,32544,32557
more than a century and a half ago,DATE,33044,33078
about tuesday night,TIME,33480,33499
today,DATE,33725,33730
second,ORDINAL,33855,33861
the final weekend,DATE,34270,34287
the past few years,DATE,35358,35376
one,CARDINAL,35632,35635
eight,CARDINAL,37250,37255
two,CARDINAL,37402,37405
morning,TIME,37555,37562
about one,CARDINAL,38298,38307
rick warren,PERSON,38561,38572
morning,TIME,39054,39061
o'clock,TIME,39854,39861
ten year,DATE,40549,40557
germans,NORP,42500,42507
my five years,DATE,43043,43056
warren,PERSON,43273,43279
one,CARDINAL,43440,43443
weekly,DATE,43656,43662
weekend,DATE,43904,43911
