text,type,start_char,end_char
1,CARDINAL,12,13
the United States,GPE,382,399
sexuality,HOMOSAURUS_CONCEPT,576,585
first,ORDINAL,642,647
first,ORDINAL,679,684
the United States,GPE,757,774
sexuality,HOMOSAURUS_CONCEPT,1157,1166
tomorrow,DATE,1577,1585
the United States of America,GPE,1601,1629
one,CARDINAL,3028,3031
sexism,HOMOSAURUS_CONCEPT,3832,3838
heterosexism,HOMOSAURUS_CONCEPT,3840,3852
1986,DATE,4264,4268
0.44,MONEY,4287,4291
50%,PERCENT,4339,4342
the United States,GPE,4359,4376
"less than $7,610",MONEY,4384,4400
"17,114",CARDINAL,4423,4429
Latin,NORP,4477,4482
Latin,NORP,4576,4581
Latin,NORP,4632,4637
One,CARDINAL,4707,4710
the Census Bureau,ORG,4785,4802
lesbians,HOMOSAURUS_CONCEPT,4854,4862
gay men,HOMOSAURUS_CONCEPT,4866,4873
lesbians,HOMOSAURUS_CONCEPT,5022,5030
1988,DATE,5296,5300
"32,000",MONEY,5382,5388
15,CARDINAL,5411,5413
"21,000",MONEY,5491,5497
15,CARDINAL,5512,5514
Latin,NORP,5533,5538
1970,DATE,5976,5980
88.1%,PERCENT,6216,6221
one,CARDINAL,6225,6228
only 11.9%,PERCENT,6281,6291
New York City,GPE,6452,6465
1983,DATE,6469,6473
"223,900",CARDINAL,6475,6482
under the age of six,DATE,6492,6512
"only 77,400",CARDINAL,6566,6577
lesbians,HOMOSAURUS_CONCEPT,6847,6855
99,CARDINAL,6988,6990
100,CARDINAL,6994,6997
Latin,LANGUAGE,7248,7253
one,CARDINAL,7448,7451
sexual harassment,HOMOSAURUS_CONCEPT,7495,7512
more than 90%,PERCENT,7539,7552
lesbians,HOMOSAURUS_CONCEPT,7653,7661
one,CARDINAL,7749,7752
around 30%,PERCENT,7770,7780
lesbians,HOMOSAURUS_CONCEPT,7784,7792
one,CARDINAL,7842,7845
lesbians,HOMOSAURUS_CONCEPT,7868,7876
Medicaid,ORG,8041,8049
Latin,NORP,8073,8078
Medicaid,ORG,8116,8124
only about 40%,PERCENT,8149,8163
Medicaid,ORG,8335,8343
Medicaid,ORG,8505,8513
"10,000",MONEY,8532,8538
"less than $10,000",MONEY,8549,8566
more than 50%,PERCENT,8580,8593
Latin,NORP,8635,8640
tomorrow,DATE,8937,8945
"$8,000 to $10,000",MONEY,9002,9019
50%,PERCENT,9065,9068
the United States,GPE,9081,9098
"7,610",MONEY,9111,9116
34,CARDINAL,9263,9265
every 15 seconds,TIME,9343,9359
Latin,NORP,9517,9522
100%,PERCENT,10446,10450
lesbians,HOMOSAURUS_CONCEPT,10819,10827
second,ORDINAL,11073,11079
2,CARDINAL,11128,11129
one,CARDINAL,11208,11211
