text,type,start_char,end_char
--the 17th,DATE,10,20
This morning,TIME,22,34
the Bryan Administration Building,ORG,68,101
Ballantine,GPE,156,166
Rawles Halls,ORG,171,183
Five,CARDINAL,185,189
this morning,TIME,234,246
Sutton,PERSON,458,464
Carter,PERSON,477,483
afternoon,TIME,511,520
Harry Pratter,PERSON,549,562
Keith Parker,PERSON,620,632
Harry Pratter,PERSON,684,697
Bryan Hall,FAC,835,845
7:30 in the morning,TIME,852,871
the day,DATE,940,947
one,CARDINAL,1053,1056
today,DATE,2023,2028
can--,PERSON,2136,2141
Dunn,PERSON,2208,2212
Sutton,PERSON,2427,2433
Carter,PERSON,2466,2472
can--,PERSON,2955,2960
an hour,TIME,3024,3031
first,ORDINAL,3041,3046
first,ORDINAL,3151,3156
KEITH PARKER,PERSON,3205,3217
Keith Parker,PERSON,3554,3566
this afternoon,TIME,3634,3648
Pryweller,PERSON,3752,3761
one,CARDINAL,3886,3889
"of-- 

 

--which",ORG,3890,3907
one,CARDINAL,3911,3914
Dale Pryweller,PERSON,4233,4247
one,CARDINAL,4523,4526
Sutton,PERSON,4605,4611
Carter,PERSON,4627,4633
Keith,PERSON,4644,4649
Michael,PERSON,4654,4661
this morning,TIME,4795,4807
eight,CARDINAL,4820,4825
Bryan Hall,FAC,4860,4870
50,MONEY,5045,5047
400,MONEY,5058,5061
one,CARDINAL,5140,5143
Shornhorse,PERSON,5229,5239
Keith,PERSON,5752,5757
the Student Government Defense Fund,ORG,5839,5874
Sutton,PERSON,5980,5986
SUTTON,PERSON,6019,6025
First,ORDINAL,6032,6037
Evansville,GPE,6374,6384
Indiana,GPE,6386,6393
won't--,PERSON,6407,6414
Evansville,GPE,6595,6605
Indiana,GPE,6607,6614
the year 2000,DATE,6696,6709
Bloomington,GPE,7011,7022
Bloomington,GPE,7090,7101
Bloomington--,GPE,7186,7199
Vietnam,GPE,7632,7639
Indiana University,ORG,7745,7763
I--,ORG,7815,7818
I--,ORG,8677,8680
second,ORDINAL,9326,9332
Carter,PERSON,9468,9474
Carter,PERSON,10561,10567
CARTER,PERSON,10577,10583
May 1,DATE,10875,10880
first,ORDINAL,11081,11086
Nixon,PERSON,11148,11153
Southeast Asia,LOC,11166,11180
Carter,PERSON,11283,11289
one,CARDINAL,11300,11303
CARTER,PERSON,11371,11377
first,ORDINAL,11511,11516
two,CARDINAL,12335,12338
Southeast Asia,LOC,12375,12389
the IU Foundation,ORG,12412,12429
the IU Foundations,ORG,12509,12527
years,DATE,12571,12576
One,CARDINAL,12674,12677
Secondly,ORDINAL,12759,12767
Dean Merritt,PERSON,12825,12837
years,DATE,13029,13034
year,DATE,13040,13044
year,DATE,13051,13055
three,CARDINAL,13150,13155
the Bobby Seale Defense Fund,ORG,13202,13230
this Defense Fund,ORG,13336,13353
Michigan City,GPE,13466,13479
four,CARDINAL,13503,13507
Indiana,GPE,13662,13669
Herman Hudson,PERSON,13902,13915
the 1950s,DATE,14268,14277
"9,000",CARDINAL,14668,14673
"7,000",CARDINAL,14682,14687
three quarters,DATE,14724,14738
CARTER,PERSON,14973,14979
Sutton,PERSON,14996,15002
yesterday,DATE,15323,15332
Keith,PERSON,15694,15699
Mike,PERSON,15704,15708
one,CARDINAL,15731,15734
Sutton,PERSON,16213,16219
Carter,PERSON,16232,16238
Pratter,PERSON,16248,16255
Sutton,PERSON,16359,16365
Carter,PERSON,16381,16387
William Curley,PERSON,16471,16485
Paul Dobbs,PERSON,16487,16497
Susan Young,PERSON,16499,16510
Gregory Hess,PERSON,16512,16524
Steve Emery,PERSON,16526,16537
Roger,PERSON,16539,16544
Nalton,PERSON,16548,16554
Mike Jones,PERSON,16559,16569
John Cowles,PERSON,16575,16586
Mike King,PERSON,16737,16746
MIKE,PERSON,16753,16757
I--,ORG,16778,16781
the minutes,TIME,16872,16883
first,ORDINAL,16915,16920
Sutton,PERSON,16937,16943
yesterday,DATE,17084,17093
Evansville,ORG,17216,17226
Evansville,ORG,17361,17371
IU,ORG,17486,17488
first,ORDINAL,18219,18224
the Evansville Courier,ORG,18379,18401
IU,ORG,18528,18530
Sutton,GPE,18555,18561
Black Panther,ORG,18859,18872
Mark,PERSON,18944,18948
today,DATE,19064,19069
about 50,CARDINAL,19242,19250
IU,PRODUCT,19267,19269
200,CARDINAL,19349,19352
400,CARDINAL,19356,19359
50,CARDINAL,19523,19525
four,CARDINAL,19629,19633
two half,DATE,19737,19745
last week,DATE,19793,19802
Sutton,PERSON,20085,20091
Bloomington,GPE,20168,20179
two,CARDINAL,20341,20344
Keith,PERSON,20359,20364
today,DATE,20441,20446
Indiana University,ORG,20684,20702
Keith,PERSON,20735,20740
Evansville,ORG,20838,20848
the Evansville Courier,ORG,20878,20900
Cambodia,GPE,20954,20962
Sutton,PERSON,20968,20974
Thailand,GPE,20989,20997
three years,DATE,21002,21013
IU,ORG,21441,21443
Sutton,PERSON,21647,21653
Keith,PERSON,21782,21787
yesterday,DATE,21803,21812
Sutton,GPE,22263,22269
Carter,PERSON,22274,22280
Sutton,PERSON,22360,22366
Parker,PERSON,22416,22422
JOSEPH SUTTON,PERSON,22466,22479
Cambodia,GPE,22579,22587
second,ORDINAL,22662,22668
one,CARDINAL,22682,22685
the past weekend,DATE,22747,22763
Keith Parker,PERSON,22812,22824
Keith Parker,PERSON,22904,22916
Keith Parker,PERSON,23034,23046
KEITH PARKER,PERSON,23050,23062
Mike,PERSON,23206,23210
first,ORDINAL,23421,23426
one,CARDINAL,23435,23438
Bobby Seale--,PERSON,23474,23487
Indiana,GPE,23652,23659
Bobby Seale's,PERSON,23762,23775
Defense Fund,ORG,23776,23788
Mike,PERSON,23950,23954
Mike,PERSON,24026,24030
Bryan Hall,FAC,24091,24101
Mike,PERSON,24196,24200
Bryan,PERSON,24320,24325
200,CARDINAL,24326,24329
Mike,PERSON,24473,24477
today,DATE,24563,24568
KEITH PARKER,PERSON,25083,25095
Bryan,PERSON,25130,25135
Ballantine,ORG,25143,25153
today,DATE,25169,25174
10 seconds,TIME,25300,25310
HARRY PRATTER,PERSON,25823,25836
Sutton,PERSON,25963,25969
Carter,PERSON,25985,25991
Mike,PERSON,26714,26718
Friday,DATE,27015,27021
KEITH PARKER,PERSON,27879,27891
"rights-- 

 

DALE",ORG,28287,28305
Carter,PERSON,28351,28357
Carter,PERSON,28413,28419
CARTER,PERSON,28442,28448
HARRY PRATTER,PERSON,29063,29076
CARTER,PERSON,29113,29119
Nixon,PERSON,29220,29225
Cambodian,NORP,29228,29237
CARTER,PERSON,29256,29262
HARRY PRATTER,PERSON,29503,29516
JOSEPH SUTTON,PERSON,29816,29829
Bloomington,GPE,29912,29923
seven,CARDINAL,30001,30006
Bloomington,GPE,30020,30031
Bloomington,GPE,30052,30063
Carter,PERSON,30319,30325
CARTER,PERSON,30393,30399
Bloomington,GPE,30791,30802
The College of Arts and Sciences Policy Committee,ORG,30874,30923
this today,DATE,31103,31113
Chuck Turner,PERSON,31713,31725
at least two,CARDINAL,31784,31796
first,ORDINAL,31832,31837
Hooker,PERSON,32057,32063
JOSEPH SUTTON,PERSON,32148,32161
a minute,TIME,32217,32225
JOSEPH SUTTON,PERSON,32296,32309
Indiana University,ORG,32336,32354
"Sir-- 

DALE",ORG,32372,32384
Chuck,PERSON,32421,32426
SUTTON,PERSON,32454,32460
"Chuck 

CHUCK",PERSON,32562,32575
today,DATE,32703,32708
JOSEPH SUTTON,PERSON,33050,33063
I--,WORK_OF_ART,33381,33384
today,DATE,33568,33573
JOSEPH SUTTON,PERSON,33588,33601
Turner,PERSON,33719,33725
second,ORDINAL,33764,33770
ROTC,ORG,33795,33799
More than a year ago,DATE,33801,33821
the Division of Arts and Sciences,ORG,33871,33904
ROTC,ORG,34054,34058
about a year ago,DATE,34238,34254
SUTTON,PERSON,34292,34298
ROTC,ORG,34869,34873
ROTC,ORG,34952,34956
Turner,PERSON,34992,34998
one,CARDINAL,35015,35018
a year ago,DATE,35062,35072
ROTC,ORG,35099,35103
the College of Arts and Sciences,ORG,35164,35196
ROTC,ORG,35210,35214
the College of Arts and Sciences,ORG,35309,35341
the College of Arts and Sciences,ORG,35500,35532
ROTC,ORG,35636,35640
ROTC,ORG,35747,35751
one,CARDINAL,35919,35922
IU,ORG,35999,36001
CARTER,PERSON,36100,36106
IU,ORG,36118,36120
Indiana,GPE,36386,36393
annually,DATE,36670,36678
Veterans for Peace,ORG,36838,36856
an ordinary week,DATE,36951,36967
Indiana University,ORG,37090,37108
today,DATE,37125,37130
this morning,TIME,37308,37320
today,DATE,37343,37348
The Daily Student,WORK_OF_ART,37583,37600
this morning,TIME,37601,37613
Yale,ORG,37935,37939
second,ORDINAL,37984,37990
Carter,PERSON,38019,38025
yesterday,DATE,38043,38052
Dean Harvey,PERSON,38061,38072
yesterday,DATE,38090,38099
The Student,WORK_OF_ART,38125,38136
