text,label,start_char,end_char
ballantine,ORG,143,153
five,CARDINAL,169,173
this morning,TIME,218,230
dave,PERSON,412,416
second,ORDINAL,460,466
seven thirty in the morning,TIME,706,733
the day,DATE,803,810
one,CARDINAL,909,912
last night,TIME,1338,1348
today,DATE,1849,1854
first,ORDINAL,2177,2182
carter,PERSON,2252,2258
the hour,TIME,2760,2768
hour,TIME,2780,2784
the first week,DATE,2790,2804
afternoon,TIME,3202,3211
countless hours,TIME,3265,3280
one,CARDINAL,3404,3407
one,CARDINAL,3421,3424
washington,GPE,3785,3795
about one,CARDINAL,3832,3841
carter,PERSON,3937,3943
keith,PERSON,3948,3953
this morning,TIME,4070,4082
eight,CARDINAL,4094,4099
fifty dollars,MONEY,4307,4320
four hundred dollars,MONEY,4329,4349
reid,PERSON,4923,4927
first,ORDINAL,5158,5163
an hour,TIME,5271,5278
the year two thousand,DATE,5641,5662
vietnam,GPE,6416,6423
third,ORDINAL,7065,7070
five,CARDINAL,7471,7475
second,ORDINAL,7872,7878
thousands,CARDINAL,8274,8283
first,ORDINAL,9387,9392
first,ORDINAL,9707,9712
the century,DATE,9881,9892
asia,LOC,10539,10543
years,DATE,10705,10710
secondly,ORDINAL,10881,10889
years,DATE,11129,11134
year,DATE,11139,11143
year,DATE,11150,11154
number three,CARDINAL,11238,11250
michigan city,GPE,11525,11538
minutes,TIME,11815,11822
now,DATE,12155,12158
the nineteen fifties,DATE,12174,12194
gao,PERSON,12502,12505
nine thousand,CARDINAL,12511,12524
seven thousand,CARDINAL,12534,12548
three quarters,DATE,12564,12578
yesterday,DATE,13050,13059
four,CARDINAL,13379,13383
one,CARDINAL,13418,13421
just a quarter,CARDINAL,13936,13950
gregory hess,PERSON,14035,14047
emory,PERSON,14054,14059
mike jones,PERSON,14075,14085
john paul's,PERSON,14089,14100
first,ORDINAL,14282,14287
yesterday,DATE,14428,14437
the year,DATE,15037,15045
first,ORDINAL,15410,15415
aug,DATE,15993,15996
today,DATE,16103,16108
about fifty,CARDINAL,16242,16253
two hundred to four hundred,CARDINAL,16341,16368
fifty,CARDINAL,16514,16519
four,CARDINAL,16617,16621
the last week,DATE,16741,16754
clinton,PERSON,17047,17054
two years ago,DATE,17609,17622
cambodia,GPE,17673,17681
three years,DATE,17722,17733
beijing,GPE,18272,18279
first,ORDINAL,18327,18332
yesterday,DATE,18420,18429
cambodia,GPE,18915,18923
second,ORDINAL,18964,18970
one,CARDINAL,18971,18974
first,ORDINAL,19341,19346
one,CARDINAL,19354,19357
mike,PERSON,19780,19784
yesterday,DATE,19796,19805
germans,NORP,19963,19970
mike,PERSON,19975,19979
hundred,CARDINAL,20096,20103
mike,PERSON,20162,20166
two,CARDINAL,20193,20196
today,DATE,20230,20235
ten seconds,TIME,20688,20699
today,DATE,20775,20780
the middle of the year,DATE,21139,21161
mike,PERSON,21498,21502
like day,DATE,21516,21524
friday,DATE,21623,21629
july,DATE,21768,21772
last an hour,TIME,22884,22896
today,DATE,23700,23705
at least three,CARDINAL,24265,24279
first,ORDINAL,24309,24314
about nine months,DATE,24370,24387
four,CARDINAL,24924,24928
several hours,TIME,25095,25108
second,ORDINAL,25306,25312
more than a year ago,DATE,25345,25365
five,CARDINAL,25463,25467
one,CARDINAL,26135,26138
one,CARDINAL,26808,26811
an ordinary week,DATE,27278,27294
today,DATE,27455,27460
