text,type,start_char,end_char
1,CARDINAL,12,13
the United States,GPE,384,401
first,ORDINAL,648,653
first,ORDINAL,685,690
the United States,GPE,763,780
this afternoon,TIME,1272,1286
tomorrow,DATE,1591,1599
the United States of America,GPE,1615,1643
only one,CARDINAL,1989,1997
one,CARDINAL,3048,3051
law--,ORG,3806,3811
1986,DATE,4292,4296
0.44,MONEY,4315,4319
50%,PERCENT,4367,4370
the United States,GPE,4387,4404
"less than $7,610",MONEY,4412,4428
"17,114",CARDINAL,4451,4457
Latin,NORP,4507,4512
Latin,NORP,4606,4611
Latin,NORP,4662,4667
the Census Bureau,ORG,4817,4834
1988,DATE,5332,5336
"32,000",MONEY,5418,5424
15,CARDINAL,5447,5449
"21,000",MONEY,5527,5533
15,CARDINAL,5548,5550
Latin,NORP,5571,5576
1970,DATE,6016,6020
88.1%,PERCENT,6258,6263
one,CARDINAL,6267,6270
only 11.9%,PERCENT,6323,6333
New York City,GPE,6496,6509
1983,DATE,6513,6517
"223,900",CARDINAL,6519,6526
the age of six,DATE,6542,6556
"only 77,400",CARDINAL,6610,6621
99,CARDINAL,7038,7040
100,CARDINAL,7044,7047
Latin,LANGUAGE,7300,7305
one,CARDINAL,7502,7505
more than 90%,PERCENT,7593,7606
one,CARDINAL,7805,7808
around 30%,PERCENT,7826,7836
one,CARDINAL,7898,7901
Medicaid,ORG,8099,8107
Latin,NORP,8131,8136
Medicaid,ORG,8176,8184
only about 40%,PERCENT,8209,8223
Medicaid,ORG,8395,8403
Medicaid,ORG,8565,8573
"10,000",MONEY,8594,8600
"less than $10,000",MONEY,8611,8628
more than 50%,PERCENT,8642,8655
Latin,NORP,8697,8702
tomorrow,DATE,9001,9009
"8,000",MONEY,9067,9072
"10,000",MONEY,9077,9083
50%,PERCENT,9129,9132
the United States,GPE,9145,9162
"7,610",MONEY,9175,9180
34,CARDINAL,9329,9331
every 15 seconds,TIME,9409,9425
Latin,NORP,9585,9590
100%,PERCENT,10516,10520
second,ORDINAL,11147,11153
2,CARDINAL,11206,11207
one,CARDINAL,11286,11289
two,CARDINAL,11336,11339
three,CARDINAL,11389,11394
Five,CARDINAL,11501,11505
six,CARDINAL,11550,11553
Seven,CARDINAL,11566,11571
the 19th to early 20th centuries,DATE,11699,11731
Europe,LOC,11748,11754
the 14th century,DATE,11768,11784
Florence Nightingale,PERSON,12350,12370
the 19th and early 20th centuries,DATE,12714,12747
American,NORP,12824,12832
two,CARDINAL,12895,12898
the mid 19th century,DATE,13403,13423
the early 20th century,DATE,13444,13466
Greek,NORP,13700,13705
1974,DATE,13728,13732
Lucien Warner,PERSON,13738,13751
the same year,DATE,13979,13992
African,NORP,13999,14006
third,ORDINAL,14537,14542
Judith,PERSON,14876,14882
third,ORDINAL,15661,15666
Depo-Provera,ORG,15711,15723
1974,DATE,15824,15828
FDA,ORG,15836,15839
US,GPE,15943,15945
the last decade,DATE,15972,15987
Two,CARDINAL,15989,15992
US,GPE,15993,15995
Latino,NORP,16031,16037
Depo-Provera,ORG,16104,16116
160th,PRODUCT,16144,16149
500,CARDINAL,16165,16168
last year,DATE,16169,16178
$305 million,MONEY,16195,16207
FDA,ORG,16358,16361
one,CARDINAL,16378,16381
the late 1950s,DATE,16414,16428
132,CARDINAL,16439,16442
Puerto Rican,NORP,16443,16455
year,DATE,16485,16489
718,CARDINAL,16494,16497
less than a year,DATE,16517,16533
five,CARDINAL,16551,16555
1976,DATE,16609,16613
398,CARDINAL,16635,16638
76,DATE,16649,16651
10,CARDINAL,16727,16729
1970,DATE,16749,16753
AMA,ORG,16809,16812
the American College of Obstetrics and Gynecology,ORG,16816,16865
1968,DATE,17202,17206
FDA,ORG,17212,17215
IUD,ORG,17250,17253
1973,DATE,17435,17439
CDC,ORG,17445,17448
"7,900",CARDINAL,17464,17469
the first half of that year alone,DATE,17513,17546
IUD,ORG,17552,17555
The Dalkon Shield,PRODUCT,17683,17700
one,CARDINAL,17702,17705
IUD,PRODUCT,17714,17717
one,CARDINAL,17751,17754
less than half,CARDINAL,17771,17785
a whole year,DATE,17816,17828
A year later,DATE,17830,17842
FDA,ORG,17848,17851
the Dalkon Shield,PRODUCT,17866,17883
millions,CARDINAL,17915,17923
the AH Robins,PERSON,17953,17966
first,ORDINAL,17968,17973
last year,DATE,17984,17993
$1.6 billion,MONEY,18019,18031
two,CARDINAL,18086,18089
1979,DATE,18425,18429
American,NORP,18439,18447
Indian,NORP,18448,18454
Latina,NORP,18467,18473
HEW,ORG,18573,18576
the mid '80s,DATE,18636,18648
Medicaid,ORG,18810,18818
"about 800,000",CARDINAL,18900,18913
1979,DATE,19070,19074
20%,PERCENT,19262,19265
Medicaid,ORG,19577,19585
1973,DATE,19650,19654
The Supreme Court,ORG,19692,19709
first,ORDINAL,19925,19930
US,GPE,19962,19964
1987,DATE,19968,19972
1921 to 1975,DATE,20478,20490
TMS,PRODUCT,20709,20712
Temporary Male Sterilization,ORG,20714,20742
10,CARDINAL,20859,20861
three years,DATE,20938,20949
one,CARDINAL,20970,20973
1975,DATE,21064,21068
first,ORDINAL,21155,21160
hundreds,CARDINAL,21257,21265
TMS,ORG,21346,21349
the Population Council in the 1970s,ORG,21374,21409
between 1976 and 1985,DATE,21582,21603
the early '80s,DATE,21620,21634
20 years,DATE,21657,21665
US,GPE,22009,22011
US,GPE,22180,22182
95%,PERCENT,22248,22251
Gram,PRODUCT,22325,22329
99%,PERCENT,22358,22361
only 50%,PERCENT,22383,22391
About 60%,PERCENT,22412,22421
STD,ORG,22534,22537
80%,PERCENT,22539,22542
30% to 40%,PERCENT,22587,22597
first,ORDINAL,22840,22845
second,ORDINAL,22928,22934
"About 700,000",CARDINAL,23077,23090
1977,DATE,23107,23111
1977,DATE,23385,23389
"about 3,200",CARDINAL,23438,23449
about a million,CARDINAL,23476,23491
1985,DATE,23532,23536
VD,ORG,23759,23761
AMA,ORG,23899,23902
1974,DATE,23905,23909
VD,ORG,23920,23922
two,CARDINAL,23986,23989
VD,ORG,24157,24159
the 19th century,DATE,24208,24224
VD,ORG,24249,24251
1860s,DATE,24408,24413
England,GPE,24414,24421
the Contagious Diseases Act,LAW,24423,24450
up to five months,DATE,24598,24615
at least 1930,DATE,24687,24700
VD,ORG,24794,24796
VD,ORG,24880,24882
about eight years,DATE,25026,25043
about five,CARDINAL,25067,25077
today,DATE,25208,25213
Our Bodies,WORK_OF_ART,25337,25347
1969,DATE,25389,25393
first,ORDINAL,25409,25414
first,ORDINAL,25636,25641
two,CARDINAL,25642,25645
1970,DATE,25673,25677
Chicago,GPE,25681,25688
Minneapolis,GPE,25693,25704
1971,DATE,25718,25722
Carol Downer,PERSON,25724,25736
Lorraine Rothman,PERSON,25741,25757
25,CARDINAL,26022,26024
1973,DATE,26094,26098
35,CARDINAL,26100,26102
116,CARDINAL,26157,26160
"1,200",CARDINAL,26263,26268
1974,DATE,26272,26276
the early days,DATE,26526,26540
first,ORDINAL,26615,26620
the Jane Collective,ORG,28476,28495
40,CARDINAL,28517,28519
the Chicago Women's Liberation Union,ORG,28531,28567
1969,DATE,28571,28575
Jane,PERSON,28577,28581
Chicago,GPE,28608,28615
Jane,PERSON,28644,28648
Women's Liberation,ORG,28654,28672
Jane,PERSON,28760,28764
Jane,PERSON,28797,28801
Jane,PERSON,28902,28906
Jane,PERSON,29032,29036
50,MONEY,29472,29474
"11,000",CARDINAL,29489,29495
from 1969 to 1973,DATE,29522,29539
April 1971,DATE,29716,29726
Carol Downer,PERSON,29732,29744
Carol,PERSON,30230,30235
thousands,CARDINAL,30351,30360
CRI,ORG,32036,32039
PWA,ORG,32588,32591
KS,ORG,32687,32689
PWA,ORG,33041,33044
One,CARDINAL,33378,33381
FDA,ORG,33418,33421
morning,TIME,33488,33495
Judith,PERSON,33535,33541
the '70s,DATE,33703,33711
Boston,GPE,33787,33793
1975,DATE,33797,33801
FDA,ORG,33837,33840
FDA,ORG,33904,33907
ACT UP and ACT,LAW,34010,34024
first,ORDINAL,34042,34047
FDA,ORG,34077,34080
IUD,ORG,34154,34157
Judith,PERSON,34196,34202
FDA,ORG,34556,34559
movement--,PERSON,34732,34742
Heidi,PERSON,36038,36043
AL721,NORP,36644,36649
Planned Parenthood,ORG,37317,37335
Planned Parenthood,ORG,37647,37665
Planned Parenthood,ORG,37839,37857
FDA,ORG,38298,38301
One,CARDINAL,38585,38588
the Committee Against Abortion Rights and Sterilization Abuse,ORG,38681,38742
CARASA,ORG,38744,38750
day,DATE,38962,38965
HEIDI,PERSON,39034,39039
Heidi,PERSON,39051,39056
the '70s,DATE,39225,39233
about 40,CARDINAL,39291,39299
the '80s,DATE,39485,39493
the late '80s,DATE,39495,39508
about 15,CARDINAL,39527,39535
the United States,GPE,39561,39578
the '80s,DATE,39736,39744
Republican,NORP,39763,39773
three,CARDINAL,40149,40154
three,CARDINAL,40260,40265
HEIDI,PERSON,40594,40599
Tallahassee,GPE,41243,41254
Florida,GPE,41256,41263
Tallahassee,GPE,41554,41565
five years,DATE,41677,41687
Roe versus Wade,LAW,42002,42017
the Hyde Amendment,LAW,42544,42562
1977,DATE,42574,42578
Medicaid,ORG,42634,42642
Santa Cruz,GPE,42871,42881
Roe versus Wade,LAW,43588,43603
1984,DATE,44209,44213
Everett,GPE,44260,44267
Washington,GPE,44269,44279
five months,DATE,44300,44311
four,CARDINAL,44327,44331
fourth,ORDINAL,44347,44353
1980,DATE,44474,44478
1986,DATE,44483,44487
over 100,CARDINAL,44501,44509
Operation Rescue,ORG,44676,44692
one,CARDINAL,44984,44987
this day,DATE,45128,45136
30 days,DATE,45505,45512
Latin,NORP,45739,45744
the first half,DATE,46316,46330
a few minutes,TIME,46354,46367
this morning,TIME,46408,46420
Heidi,PERSON,46569,46574
Spanish,LANGUAGE,46946,46953
30 days,DATE,46986,46993
Marian,PERSON,47397,47403
Our Bodies,WORK_OF_ART,47445,47455
first,ORDINAL,47485,47490
three hours,TIME,48246,48257
the 10 minutes,TIME,48272,48286
1,CARDINAL,48329,48330
15 years ago,DATE,48720,48732
IVDU,ORG,49215,49219
African American,NORP,49239,49255
Latino,NORP,49287,49293
1977,DATE,49454,49458
1971,DATE,49537,49541
Latino,NORP,49640,49646
Latin,NORP,49935,49940
the National Women's Health Network,ORG,50131,50166
1976,DATE,50176,50180
the last five years,DATE,50302,50321
1,CARDINAL,50337,50338
1977,DATE,50811,50815
Medicaid,ORG,50845,50853
Heidi,PERSON,51054,51059
HEIDI,PERSON,51216,51221
Maxine,PERSON,51471,51477
the Hyde Amendment--,PERSON,51498,51518
1,CARDINAL,51838,51839
this day,DATE,52036,52044
Roe v. Wade,LAW,52144,52155
all the years,DATE,52184,52197
Roe v. Wade,LAW,52203,52214
second,ORDINAL,52387,52393
about eight,CARDINAL,52649,52660
the Feminist Women's Health Center,ORG,52699,52733
Maxine,PERSON,52863,52869
the National Organization of Women,ORG,52880,52914
'70s,DATE,52922,52926
France,GPE,53248,53254
6,CARDINAL,53294,53295
RU486,PRODUCT,53418,53423
RU486,PRODUCT,53773,53778
1,CARDINAL,54523,54524
France,GPE,54573,54579
Catholic,NORP,54610,54618
that's--,NORP,54648,54656
the Sunday Times Magazine,ORG,55075,55100
