type,text
PERSON,Patten
PERSON,William Patten
LOCATION,Balkan
LOCATION,Bloomington
LOCATION,New York
LOCATION,West Coast
LOCATION,Bloomington
PERSON,Alexander Astin
PERSON,William Patten
PERSON,Astin
PERSON,Alexander Astin
ORGANIZATION,Gettysburg College
ORGANIZATION,University of Maryland
ORGANIZATION,National Merit Scholarship Corporation
ORGANIZATION,American Council of education
ORGANIZATION,UCLA
PERSON,Allan Murray Carter
ORGANIZATION,Higher Education Research Institute
ORGANIZATION,Madison College
PERSON,Astin
LOCATION,Bloomington
ORGANIZATION,Patten Foundation
ORGANIZATION,School of Education
PERSON,Astin
PERSON,ALEXANDER ASTIN
ORGANIZATION,GPA
LOCATION,United States
PERSON,Robert Maynard Hutchins
LOCATION,America
LOCATION,Western Europe
LOCATION,Pacific Rim
PERSON,John Dewey
ORGANIZATION,Academy
ORGANIZATION,Academy
LOCATION,US
PERSON,Daniel Goleman
PERSON,Sandy
ORGANIZATION,GPA
ORGANIZATION,GPA
ORGANIZATION,GPA
PERSON,de Tocqueville
PERSON,Astin
PERSON,Dick McKay
PERSON,Dick
PERSON,DICK MCKAY
PERSON,Debbie Fein
ORGANIZATION,Office of Academic Affairs
LOCATION,Bloomington
PERSON,Suzanne
PERSON,DICK MCKAY
ORGANIZATION,Patten Lecture
PERSON,Sandy
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,Jesus Christ
PERSON,ALEXANDER ASTIN
ORGANIZATION,Indiana University
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
ORGANIZATION,UCLA
PERSON,ALEXANDER ASTIN
PERSON,Jacobs
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
PERSON,Jacobs
PERSON,Jacobs
PERSON,ALEXANDER ASTIN
PERSON,ALEXANDER ASTIN
ORGANIZATION,Harvard Harvard
PERSON,ALEXANDER ASTIN
ORGANIZATION,Harvard
PERSON,Astin
ORGANIZATION,University Club
