type,text
ORGANIZATION,Bryan Administration Building
LOCATION,Ballantine
LOCATION,Rawles Halls
PERSON,Sutton
PERSON,Carter
PERSON,Law Harry Pratter
PERSON,Keith Parker
PERSON,HARRY PRATTER
PERSON,Harry Pratter
LOCATION,Bryan Hall
PERSON,Dunn
PERSON,Sutton
PERSON,Carter
PERSON,KEITH PARKER
PERSON,Keith Parker
PERSON,HARRY PRATTER
PERSON,Pryweller
PERSON,Dale Pryweller
PERSON,HARRY PRATTER
PERSON,DALE PRYWELLER
PERSON,Sutton
PERSON,Carter
PERSON,Keith
PERSON,Michael
LOCATION,Bryan Hall
PERSON,Keith
PERSON,Sutton
PERSON,JOSEPH SUTTON
PERSON,JOSEPH SUTTON
LOCATION,Evansville
LOCATION,Indiana
LOCATION,Evansville
LOCATION,Indiana
LOCATION,Bloomington
LOCATION,Bloomington
LOCATION,Bloomington
LOCATION,Vietnam
ORGANIZATION,Indiana University
PERSON,Carter
PERSON,BYRUM CARTER
PERSON,DALE PRYWELLER
PERSON,Carter
PERSON,BYRUM CARTER
PERSON,BYRUM CARTER
PERSON,Nixon
LOCATION,Southeast Asia
PERSON,Carter
PERSON,BYRUM CARTER
LOCATION,Southeast Asia
ORGANIZATION,IU Foundation
PERSON,BYRUM CARTER
PERSON,Dean Merritt
ORGANIZATION,Bobby Seale Defense Fund
LOCATION,Michigan City
LOCATION,Indiana
PERSON,Herman Hudson
PERSON,DALE PRYWELLER
PERSON,BYRUM CARTER
PERSON,DALE PRYWELLER
PERSON,BYRUM
PERSON,Sutton
PERSON,DALE PRYWELLER
PERSON,Keith
PERSON,Mike
PERSON,Sutton
PERSON,Carter
PERSON,Pratter
PERSON,Sutton
PERSON,Carter
PERSON,DALE PRYWELLER
PERSON,William Curley
PERSON,Paul Dobbs
PERSON,Susan Young
PERSON,Gregory Hess
PERSON,Steve Emery
PERSON,Roger
PERSON,Nalton
PERSON,Mike Jones
PERSON,John Cowles
PERSON,Mike King
PERSON,MIKE KING
PERSON,Sutton
LOCATION,Evansville
LOCATION,Evansville
ORGANIZATION,Evansville Courier
PERSON,Sutton
PERSON,Mark
LOCATION,IU
PERSON,Sutton
LOCATION,Bloomington
PERSON,Keith
ORGANIZATION,Indiana University
PERSON,Keith
LOCATION,Evansville
ORGANIZATION,Evansville Courier
LOCATION,Cambodia
PERSON,Sutton
LOCATION,Thailand
PERSON,Sutton
PERSON,Keith
PERSON,DALE PRYWELLER
PERSON,Sutton
PERSON,Carter
PERSON,HARRY PRATTER
PERSON,Sutton
PERSON,Parker
PERSON,JOSEPH SUTTON
LOCATION,Cambodia
PERSON,DALE PRYWELLER
PERSON,Keith Parker
PERSON,Keith Parker
PERSON,Keith Parker
PERSON,KEITH PARKER
PERSON,KEITH PARKER
PERSON,Mike
PERSON,Bobby Seale
LOCATION,Indiana
PERSON,Bobby Seale
PERSON,Mike
PERSON,Mike
PERSON,Bryan Hall
PERSON,Mike
PERSON,Bryan
PERSON,KEITH PARKER
PERSON,Mike
PERSON,KEITH PARKER
PERSON,Bryan
LOCATION,Ballantine
PERSON,DALE PRYWELLER
PERSON,HARRY PRATTER
PERSON,HARRY PRATTER
PERSON,DALE PRYWELLER
PERSON,Sutton
PERSON,Carter
PERSON,DALE PRYWELLER
PERSON,Mike
PERSON,MIKE KING
PERSON,DALE PRYWELLER
PERSON,KEITH PARKER
PERSON,DALE PRYWELLER
PERSON,HARRY PRATTER
PERSON,Carter
PERSON,DALE PRYWELLER
PERSON,Carter
PERSON,BYRUM CARTER
PERSON,DALE PRYWELLER
PERSON,BYRUM CARTER
PERSON,DALE PRYWELLER
PERSON,HARRY PRATTER
PERSON,DALE PRYWELLER
PERSON,HARRY PRATTER
PERSON,BYRUM
PERSON,Nixon
PERSON,BYRUM CARTER
PERSON,JOSEPH SUTTON
PERSON,HARRY PRATTER
PERSON,JOSEPH SUTTON
PERSON,HARRY PRATTER
PERSON,HARRY PRATTER
PERSON,JOSEPH SUTTON
LOCATION,Bloomington
LOCATION,Bloomington
LOCATION,Bloomington
PERSON,Carter
PERSON,BYRUM CARTER
LOCATION,Bloomington
ORGANIZATION,College of Arts and Sciences Policy Committee
PERSON,BYRUM CARTER
PERSON,DALE PRYWELLER
PERSON,Chuck Turner
PERSON,CHUCK TURNER
PERSON,Hooker
PERSON,JOSEPH SUTTON
PERSON,JOSEPH SUTTON
ORGANIZATION,Indiana University
PERSON,CHUCK TURNER
PERSON,DALE PRYWELLER
PERSON,Chuck
PERSON,JOSEPH SUTTON
PERSON,DALE PRYWELLER
PERSON,Chuck CHUCK TURNER
PERSON,JOSEPH SUTTON
PERSON,CHUCK TURNER
PERSON,JOSEPH SUTTON
PERSON,JOSEPH SUTTON
PERSON,CHUCK TURNER
PERSON,DALE PRYWELLER
PERSON,Turner
PERSON,CHUCK TURNER
ORGANIZATION,Division of Arts and Sciences
PERSON,DALE PRYWELLER
PERSON,CHUCK TURNER
PERSON,JOSEPH SUTTON
PERSON,CHUCK TURNER
PERSON,JOSEPH SUTTON
PERSON,CHUCK TURNER
PERSON,JOSEPH SUTTON
PERSON,JOSEPH SUTTON
PERSON,CHUCK TURNER
PERSON,BYRUM CARTER
PERSON,Turner
ORGANIZATION,College of Arts and Sciences
ORGANIZATION,College of Arts and Sciences
ORGANIZATION,College of Arts and Sciences
ORGANIZATION,ROTC
PERSON,CHUCK TURNER
PERSON,BYRUM
PERSON,JOSEPH SUTTON
PERSON,JOSEPH SUTTON
LOCATION,Indiana
PERSON,CHUCK TURNER
PERSON,DALE PRYWELLER
PERSON,JOSEPH SUTTON
ORGANIZATION,Indiana University
ORGANIZATION,Yale
PERSON,Carter
PERSON,Dean Harvey
LOCATION,Washington
ORGANIZATION,Air Force
PERSON,DALE PRYWELLER
PERSON,Carter
PERSON,Boyle
PERSON,BYRUM
PERSON,DALE PRYWELLER
PERSON,BYRUM CARTER
PERSON,DALE PRYWELLER
PERSON,HARRY PRATTER
PERSON,Chris
PERSON,Lohman
PERSON,Tom
PERSON,Shornhorse
PERSON,Shelley
PERSON,Geller
PERSON,Peter Lintenbaum
PERSON,Tom
PERSON,Shornhorse
PERSON,Tom
PERSON,Tom
PERSON,Tom
PERSON,KEITH PARKER
PERSON,Stan
LOCATION,Vietnam
PERSON,Edward Sherman
PERSON,Julius
